s,C,C
Time,"Cable Temp","Shroud Temp"
 0.000E+00, 3.000E+01, 3.000E+01
 1.500E+01, 3.002E+01, 6.790E+01
 3.000E+01, 3.049E+01, 1.427E+02
 4.501E+01, 3.244E+01, 2.177E+02
 6.002E+01, 3.686E+01, 2.927E+02
 7.502E+01, 4.480E+01, 3.677E+02
 9.003E+01, 5.746E+01, 4.427E+02
 1.050E+02, 7.607E+01, 4.800E+02
 1.200E+02, 9.794E+01, 4.800E+02
 1.350E+02, 1.188E+02, 4.800E+02
 1.500E+02, 1.376E+02, 4.800E+02
 1.650E+02, 1.546E+02, 4.800E+02
 1.800E+02, 1.702E+02, 4.800E+02
 1.950E+02, 1.845E+02, 4.800E+02
 2.100E+02, 1.978E+02, 4.800E+02
 2.250E+02, 2.102E+02, 4.800E+02
 2.400E+02, 2.218E+02, 4.800E+02
 2.550E+02, 2.327E+02, 4.800E+02
 2.700E+02, 2.429E+02, 4.800E+02
 2.850E+02, 2.526E+02, 4.800E+02
 3.000E+02, 2.618E+02, 4.800E+02
 3.150E+02, 2.705E+02, 4.800E+02
 3.300E+02, 2.787E+02, 4.800E+02
 3.450E+02, 2.865E+02, 4.800E+02
 3.600E+02, 2.939E+02, 4.800E+02
 3.750E+02, 3.009E+02, 4.800E+02
 3.900E+02, 3.075E+02, 4.800E+02
 4.050E+02, 3.140E+02, 4.800E+02
 4.200E+02, 3.201E+02, 4.800E+02
 4.350E+02, 3.259E+02, 4.800E+02
 4.500E+02, 3.315E+02, 4.800E+02
 4.650E+02, 3.366E+02, 4.800E+02
 4.800E+02, 3.416E+02, 4.800E+02
 4.950E+02, 3.463E+02, 4.800E+02
 5.100E+02, 3.508E+02, 4.800E+02
 5.250E+02, 3.551E+02, 4.800E+02
 5.400E+02, 3.591E+02, 4.800E+02
 5.550E+02, 3.629E+02, 4.800E+02
 5.700E+02, 3.666E+02, 4.800E+02
 5.850E+02, 3.701E+02, 4.800E+02
 6.000E+02, 3.734E+02, 4.800E+02
 6.150E+02, 3.766E+02, 4.800E+02
 6.300E+02, 3.796E+02, 4.789E+02
 6.450E+02, 3.823E+02, 4.742E+02
 6.600E+02, 3.846E+02, 4.693E+02
 6.750E+02, 3.863E+02, 4.644E+02
 6.900E+02, 3.873E+02, 4.594E+02
 7.050E+02, 3.880E+02, 4.545E+02
 7.200E+02, 3.883E+02, 4.496E+02
 7.350E+02, 3.883E+02, 4.446E+02
 7.500E+02, 3.881E+02, 4.397E+02
 7.650E+02, 3.875E+02, 4.348E+02
 7.800E+02, 3.868E+02, 4.298E+02
 7.950E+02, 3.858E+02, 4.249E+02
 8.100E+02, 3.848E+02, 4.200E+02
 8.250E+02, 3.835E+02, 4.150E+02
 8.400E+02, 3.822E+02, 4.101E+02
 8.550E+02, 3.805E+02, 4.052E+02
 8.700E+02, 3.787E+02, 4.002E+02
 8.850E+02, 3.769E+02, 3.953E+02
 9.000E+02, 3.749E+02, 3.904E+02
 9.150E+02, 3.728E+02, 3.854E+02
 9.300E+02, 3.707E+02, 3.805E+02
 9.450E+02, 3.685E+02, 3.756E+02
 9.600E+02, 3.661E+02, 3.706E+02
 9.750E+02, 3.635E+02, 3.657E+02
 9.900E+02, 3.610E+02, 3.608E+02
 1.005E+03, 3.583E+02, 3.559E+02
 1.020E+03, 3.556E+02, 3.509E+02
 1.035E+03, 3.529E+02, 3.460E+02
 1.050E+03, 3.502E+02, 3.410E+02
 1.065E+03, 3.474E+02, 3.361E+02
 1.080E+03, 3.445E+02, 3.312E+02
 1.095E+03, 3.416E+02, 3.263E+02
 1.110E+03, 3.387E+02, 3.213E+02
 1.125E+03, 3.357E+02, 3.164E+02
 1.140E+03, 3.327E+02, 3.115E+02
 1.155E+03, 3.297E+02, 3.090E+02
 1.170E+03, 3.268E+02, 3.090E+02
 1.185E+03, 3.241E+02, 3.090E+02
 1.200E+03, 3.216E+02, 3.090E+02
