s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CELLULOSE,MLR_PRODUCTS,MLR_WATER VAPOR
 0.0000000E+000, 0.0000000E+000,-5.3095094E-004,-1.2891931E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3095223E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0003011E+001, 1.5390248E+001,-2.4349307E+000,-2.0366214E+000,-1.6933678E+000, 1.5104148E-003, 0.0000000E+000,-7.1652791E+000, 1.8002084E+000, 2.0615591E+000,-2.9675028E-005, 1.6859791E-003, 3.2779110E-005, 3.2513416E-004
 2.0000307E+001, 3.4512007E+001,-8.8475718E+000,-1.0600170E+001,-4.6915721E+000, 1.0936754E-002, 0.0000000E+000,-8.1556311E+000, 1.4811176E+000, 2.2279983E+000,-1.3811673E-004, 3.0533292E-003, 1.5256408E-004, 7.1648432E-004
 3.0000380E+001, 5.5297191E+001,-1.6400585E+001,-2.1625439E+001,-7.7700826E+000, 1.9947761E-002, 0.0000000E+000,-7.1848231E+000, 7.7035735E-001, 2.3362094E+000,-3.2152818E-004, 4.6074718E-003, 3.5516083E-004, 1.0840615E-003
 4.0000957E+001, 6.8460138E+001,-2.1372742E+001,-2.8428070E+001,-9.3697798E+000, 1.2023942E-003, 0.0000000E+000,-5.7932461E+000, 8.8744472E-001, 3.4975022E+000,-5.5232664E-004, 5.5861318E-003, 6.1010139E-004, 1.3561330E-003
 5.0001167E+001, 7.5151466E+001,-2.4297063E+001,-3.3376285E+001,-9.7152394E+000,-7.6750186E-002, 0.0000000E+000,-3.9093349E+000, 7.0962998E-002, 3.7767936E+000,-7.9441577E-004, 5.9925991E-003, 8.7751365E-004, 1.6375324E-003
 6.0000858E+001, 8.1152258E+001,-2.6768858E+001,-3.6571035E+001,-1.0386636E+001,-1.8166732E-001, 0.0000000E+000,-2.1782940E+000, 2.3141089E-001, 5.0657678E+000,-1.0465459E-003, 6.2644888E-003, 1.1560172E-003, 1.9151035E-003
 7.0000038E+001, 8.3684542E+001,-2.8000865E+001,-3.9405287E+001,-1.0463012E+001,-3.1904836E-001, 0.0000000E+000, 1.3635533E-001,-1.6425512E-001, 5.6326841E+000,-1.2637687E-003, 6.4644995E-003, 1.3959621E-003, 2.1265902E-003
 8.0002266E+001, 8.5298174E+001,-2.8987217E+001,-4.0745669E+001,-1.0679441E+001,-4.1773046E-001, 0.0000000E+000, 2.1369182E+000, 7.5050393E-002, 6.6050340E+000,-1.4246918E-003, 6.4335414E-003, 1.5737181E-003, 2.3198064E-003
 9.0001625E+001, 8.4825584E+001,-2.9180481E+001,-4.1024665E+001,-1.0596367E+001,-5.1859107E-001, 0.0000000E+000, 3.6068517E+000, 6.2331308E-002, 7.1123320E+000,-1.5399503E-003, 6.3408923E-003, 1.7010329E-003, 2.4964417E-003
 1.0000129E+002, 8.1687518E+001,-2.8441770E+001,-3.9671477E+001,-1.0316519E+001,-5.6622303E-001, 0.0000000E+000, 4.5655284E+000,-1.7040746E-001, 7.2570556E+000,-1.6234062E-003, 6.0894601E-003, 1.7932185E-003, 2.6317918E-003
 1.1000040E+002, 8.1636822E+001,-2.8585851E+001,-3.9593926E+001,-1.0214810E+001,-6.2356743E-001, 0.0000000E+000, 5.0718212E+000,-2.1670339E-002, 7.6904894E+000,-1.6867684E-003, 6.0111574E-003, 1.8632086E-003, 2.7527436E-003
 1.2000177E+002, 8.4295213E+001,-2.9617642E+001,-4.0952847E+001,-1.0422004E+001,-7.3042861E-001, 0.0000000E+000, 5.3926763E+000, 2.9761334E-002, 7.9649681E+000,-1.7346299E-003, 6.3755661E-003, 1.9160766E-003, 2.8729691E-003
 1.3000108E+002, 8.6538784E+001,-3.0534549E+001,-4.2412105E+001,-1.0407796E+001,-7.8726573E-001, 0.0000000E+000, 5.6528512E+000,-3.9047243E-002, 8.0499196E+000,-1.7694404E-003, 6.4243154E-003, 1.9545283E-003, 2.9981860E-003
