s,mu-m,,C
Time,"d","d^2/d0^2","t"
 0.0000000E+000, 1.2000000E+003, 1.0000000E+000, 0.0000000E+000
 3.0000000E-001, 1.1996670E+003, 9.9944504E-001, 5.3217400E-001
 6.0000000E-001, 1.1992936E+003, 9.9882309E-001, 9.7284143E-001
 9.0000000E-001, 1.1988888E+003, 9.9814881E-001, 1.3388131E+000
 1.2000000E+000, 1.1984549E+003, 9.9742647E-001, 1.6393008E+000
 1.5000000E+000, 1.1979985E+003, 9.9666703E-001, 1.8876408E+000
 1.8000000E+000, 1.1975228E+003, 9.9587558E-001, 2.0920898E+000
 2.1100000E+000, 1.1970134E+003, 9.9502845E-001, 2.2645325E+000
 2.4100000E+000, 1.1965063E+003, 9.9418560E-001, 2.4002548E+000
 2.7100000E+000, 1.1959870E+003, 9.9332284E-001, 2.5100115E+000
 3.0100000E+000, 1.1954591E+003, 9.9244610E-001, 2.6001820E+000
 3.3100000E+000, 1.1949240E+003, 9.9155785E-001, 2.6742087E+000
 3.6100000E+000, 1.1943830E+003, 9.9066017E-001, 2.7349442E+000
 3.9100000E+000, 1.1938370E+003, 9.8975475E-001, 2.7847479E+000
 4.2100000E+000, 1.1932870E+003, 9.8884301E-001, 2.8255677E+000
 4.5100000E+000, 1.1927337E+003, 9.8792611E-001, 2.8590095E+000
 4.8100000E+000, 1.1921775E+003, 9.8700502E-001, 2.8863961E+000
 5.1100000E+000, 1.1916190E+003, 9.8608053E-001, 2.9088157E+000
 5.4100000E+000, 1.1910587E+003, 9.8515327E-001, 2.9271626E+000
 5.7100000E+000, 1.1904967E+003, 9.8422380E-001, 2.9421717E+000
 6.0100000E+000, 1.1899333E+003, 9.8329255E-001, 2.9544461E+000
 6.3100000E+000, 1.1893688E+003, 9.8235986E-001, 2.9644808E+000
 6.6100000E+000, 1.1888034E+003, 9.8142605E-001, 2.9726815E+000
 6.9100000E+000, 1.1882372E+003, 9.8049135E-001, 2.9793811E+000
 7.2100000E+000, 1.1876702E+003, 9.7955596E-001, 2.9848521E+000
 7.5100000E+000, 1.1871027E+003, 9.7862003E-001, 2.9893180E+000
