s,C,kW/m2,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_5p87_025","HRRPUA-CONE_5p87_025","WALL TEMPERATURE-CONE_5p87_050","HRRPUA-CONE_5p87_050","WALL TEMPERATURE-CONE_5p87_075","HRRPUA-CONE_5p87_075"
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 2.363E+02, 0.000E+00, 3.989E+02, 0.000E+00, 5.245E+02, 2.905E+01
 2.000E+01, 3.622E+02, 0.000E+00, 5.545E+02, 2.178E+01, 6.811E+02, 2.977E+02
 3.000E+01, 3.984E+02, 0.000E+00, 5.848E+02, 1.917E+02, 7.060E+02, 2.812E+02
 4.000E+01, 4.171E+02, 0.000E+00, 5.993E+02, 2.419E+02, 7.178E+02, 2.421E+02
 5.000E+01, 4.287E+02, 0.000E+00, 6.080E+02, 2.164E+02, 7.250E+02, 2.806E+02
 6.000E+01, 4.369E+02, 0.000E+00, 6.142E+02, 1.956E+02, 7.302E+02, 3.052E+02
 7.000E+01, 4.432E+02, 0.000E+00, 6.191E+02, 2.021E+02, 7.342E+02, 3.097E+02
 8.000E+01, 4.483E+02, 1.685E+00, 6.230E+02, 2.054E+02, 7.375E+02, 2.953E+02
 9.000E+01, 4.526E+02, 3.026E+01, 6.264E+02, 2.249E+02, 7.403E+02, 2.262E+02
 1.000E+02, 4.563E+02, 8.980E+01, 6.293E+02, 2.062E+02, 7.428E+02, 1.134E+02
 1.100E+02, 4.596E+02, 1.408E+02, 6.318E+02, 1.261E+02, 7.449E+02, 7.423E+01
 1.200E+02, 4.625E+02, 1.394E+02, 6.341E+02, 1.063E+02, 7.469E+02, 6.838E+01
 1.300E+02, 4.651E+02, 1.155E+02, 6.361E+02, 1.045E+02, 7.486E+02, 6.488E+01
 1.400E+02, 4.674E+02, 9.696E+01, 6.379E+02, 1.017E+02, 7.501E+02, 6.303E+01
 1.500E+02, 4.696E+02, 9.030E+01, 6.395E+02, 8.851E+01, 7.515E+02, 6.116E+01
 1.600E+02, 4.715E+02, 9.650E+01, 6.410E+02, 5.474E+01, 7.527E+02, 5.706E+01
 1.700E+02, 4.732E+02, 1.044E+02, 6.424E+02, 2.375E+01, 7.538E+02, 4.037E+01
 1.800E+02, 4.748E+02, 1.115E+02, 6.436E+02, 1.685E+01, 7.548E+02, 2.824E+01
 1.900E+02, 4.763E+02, 1.175E+02, 6.447E+02, 1.526E+01, 7.558E+02, 7.698E+00
 2.000E+02, 4.776E+02, 1.223E+02, 6.457E+02, 1.472E+01, 7.566E+02, 3.672E-01
 2.100E+02, 4.788E+02, 1.242E+02, 6.466E+02, 1.417E+01, 7.574E+02, 0.000E+00
 2.200E+02, 4.799E+02, 1.250E+02, 6.474E+02, 1.361E+01, 7.581E+02, 0.000E+00
 2.300E+02, 4.809E+02, 1.257E+02, 6.482E+02, 1.320E+01, 7.587E+02, 0.000E+00
 2.400E+02, 4.819E+02, 1.252E+02, 6.489E+02, 1.300E+01, 7.593E+02, 0.000E+00
 2.500E+02, 4.827E+02, 1.231E+02, 6.495E+02, 1.280E+01, 7.598E+02, 0.000E+00
 2.600E+02, 4.835E+02, 1.175E+02, 6.501E+02, 1.261E+01, 7.603E+02, 0.000E+00
 2.700E+02, 4.842E+02, 1.079E+02, 6.506E+02, 1.243E+01, 7.607E+02, 0.000E+00
 2.800E+02, 4.849E+02, 9.209E+01, 6.511E+02, 1.236E+01, 7.611E+02, 0.000E+00
 2.900E+02, 4.855E+02, 7.061E+01, 6.515E+02, 1.229E+01, 7.614E+02, 0.000E+00
 3.000E+02, 4.861E+02, 5.019E+01, 6.519E+02, 1.222E+01, 7.618E+02, 0.000E+00
 3.100E+02, 4.866E+02, 3.642E+01, 6.523E+02, 1.216E+01, 7.621E+02, 0.000E+00
 3.200E+02, 4.870E+02, 2.921E+01, 6.526E+02, 1.209E+01, 7.623E+02, 0.000E+00
 3.300E+02, 4.875E+02, 2.647E+01, 6.529E+02, 1.202E+01, 7.626E+02, 0.000E+00
 3.400E+02, 4.879E+02, 2.469E+01, 6.532E+02, 1.196E+01, 7.628E+02, 0.000E+00
 3.500E+02, 4.882E+02, 2.416E+01, 6.534E+02, 1.189E+01, 7.630E+02, 0.000E+00
 3.600E+02, 4.885E+02, 2.369E+01, 6.537E+02, 1.186E+01, 7.632E+02, 0.000E+00
 3.700E+02, 4.888E+02, 2.323E+01, 6.539E+02, 1.186E+01, 7.633E+02, 0.000E+00
 3.800E+02, 4.891E+02, 2.276E+01, 6.541E+02, 1.176E+01, 7.635E+02, 0.000E+00
 3.900E+02, 4.894E+02, 2.231E+01, 6.542E+02, 9.551E+00, 7.636E+02, 0.000E+00
 4.000E+02, 4.896E+02, 2.203E+01, 6.544E+02, 6.765E+00, 7.637E+02, 0.000E+00
 4.100E+02, 4.898E+02, 2.183E+01, 6.545E+02, 4.505E+00, 7.639E+02, 0.000E+00
 4.200E+02, 4.900E+02, 2.163E+01, 6.547E+02, 2.206E+00, 7.640E+02, 0.000E+00
 4.300E+02, 4.902E+02, 2.144E+01, 6.548E+02, 3.127E-01, 7.641E+02, 0.000E+00
 4.400E+02, 4.904E+02, 2.124E+01, 6.549E+02, 1.316E-02, 7.641E+02, 0.000E+00
 4.500E+02, 4.905E+02, 2.102E+01, 6.550E+02, 0.000E+00, 7.642E+02, 0.000E+00
 4.600E+02, 4.907E+02, 2.076E+01, 6.551E+02, 0.000E+00, 7.643E+02, 0.000E+00
 4.700E+02, 4.908E+02, 2.050E+01, 6.552E+02, 0.000E+00, 7.644E+02, 0.000E+00
