s,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_4p80_020","HRRPUA-CONE_4p80_020","WALL TEMPERATURE-CONE_4p80_025","HRRPUA-CONE_4p80_025"
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 7.292E+01, 0.000E+00, 8.434E+01, 0.000E+00
 2.000E+01, 1.167E+02, 0.000E+00, 1.388E+02, 0.000E+00
 3.000E+01, 1.410E+02, 0.000E+00, 1.687E+02, 0.000E+00
 4.000E+01, 1.599E+02, 0.000E+00, 1.919E+02, 0.000E+00
 5.000E+01, 1.764E+02, 0.000E+00, 2.118E+02, 0.000E+00
 6.000E+01, 1.914E+02, 0.000E+00, 2.298E+02, 0.000E+00
 7.000E+01, 2.054E+02, 0.000E+00, 2.466E+02, 0.000E+00
 8.000E+01, 2.187E+02, 0.000E+00, 2.622E+02, 0.000E+00
 9.000E+01, 2.313E+02, 0.000E+00, 2.770E+02, 0.000E+00
 1.000E+02, 2.432E+02, 0.000E+00, 2.909E+02, 0.000E+00
 1.100E+02, 2.546E+02, 0.000E+00, 3.039E+02, 0.000E+00
 1.200E+02, 2.654E+02, 0.000E+00, 3.162E+02, 0.000E+00
 1.300E+02, 2.756E+02, 0.000E+00, 3.277E+02, 0.000E+00
 1.400E+02, 2.853E+02, 0.000E+00, 3.386E+02, 0.000E+00
 1.500E+02, 2.945E+02, 0.000E+00, 3.487E+02, 0.000E+00
 1.600E+02, 3.032E+02, 0.000E+00, 3.582E+02, 3.922E+00
 1.700E+02, 3.115E+02, 0.000E+00, 3.671E+02, 3.497E+01
 1.800E+02, 3.192E+02, 1.983E-03, 3.754E+02, 6.231E+01
 1.900E+02, 3.266E+02, 1.374E+01, 3.832E+02, 5.847E+01
 2.000E+02, 3.335E+02, 4.431E+01, 3.904E+02, 6.103E+01
 2.100E+02, 3.400E+02, 5.868E+01, 3.972E+02, 6.429E+01
 2.200E+02, 3.462E+02, 5.552E+01, 4.035E+02, 6.548E+01
 2.300E+02, 3.520E+02, 5.399E+01, 4.093E+02, 6.368E+01
 2.400E+02, 3.574E+02, 5.372E+01, 4.148E+02, 5.990E+01
 2.500E+02, 3.625E+02, 5.475E+01, 4.198E+02, 5.361E+01
 2.600E+02, 3.673E+02, 5.604E+01, 4.245E+02, 4.840E+01
 2.700E+02, 3.718E+02, 5.674E+01, 4.289E+02, 4.372E+01
 2.800E+02, 3.760E+02, 5.668E+01, 4.330E+02, 3.904E+01
 2.900E+02, 3.800E+02, 5.496E+01, 4.367E+02, 3.359E+01
 3.000E+02, 3.837E+02, 5.312E+01, 4.402E+02, 2.425E+01
 3.100E+02, 3.871E+02, 5.128E+01, 4.435E+02, 1.992E+01
 3.200E+02, 3.904E+02, 4.961E+01, 4.465E+02, 1.891E+01
 3.300E+02, 3.934E+02, 4.865E+01, 4.493E+02, 2.118E+01
 3.400E+02, 3.963E+02, 4.778E+01, 4.519E+02, 2.177E+01
 3.500E+02, 3.990E+02, 4.691E+01, 4.543E+02, 2.000E+01
 3.600E+02, 4.015E+02, 4.604E+01, 4.565E+02, 1.741E+01
 3.700E+02, 4.038E+02, 4.551E+01, 4.585E+02, 1.458E+01
