s,C,kW/m2,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_12p70_035","HRRPUA-CONE_12p70_035","WALL TEMPERATURE-CONE_12p70_050","HRRPUA-CONE_12p70_050","WALL TEMPERATURE-CONE_12p70_075","HRRPUA-CONE_12p70_075"
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 1.606E+02, 0.000E+00, 2.154E+02, 0.000E+00, 3.025E+02, 0.000E+00
 2.000E+01, 2.723E+02, 0.000E+00, 3.640E+02, 0.000E+00, 4.968E+02, 0.000E+00
 3.000E+01, 3.219E+02, 0.000E+00, 4.231E+02, 0.000E+00, 5.604E+02, 1.875E-02
 4.000E+01, 3.547E+02, 0.000E+00, 4.594E+02, 0.000E+00, 5.963E+02, 6.781E+01
 5.000E+01, 3.793E+02, 0.000E+00, 4.854E+02, 0.000E+00, 6.208E+02, 1.164E+02
 6.000E+01, 3.991E+02, 0.000E+00, 5.057E+02, 0.000E+00, 6.394E+02, 8.330E+01
 7.000E+01, 4.157E+02, 0.000E+00, 5.221E+02, 0.000E+00, 6.543E+02, 5.999E+01
 8.000E+01, 4.299E+02, 0.000E+00, 5.360E+02, 6.742E+00, 6.665E+02, 5.144E+01
 9.000E+01, 4.422E+02, 0.000E+00, 5.478E+02, 2.930E+01, 6.769E+02, 5.343E+01
 1.000E+02, 4.531E+02, 0.000E+00, 5.579E+02, 4.138E+01, 6.857E+02, 6.213E+01
 1.100E+02, 4.626E+02, 0.000E+00, 5.668E+02, 4.706E+01, 6.932E+02, 7.180E+01
 1.200E+02, 4.710E+02, 0.000E+00, 5.745E+02, 4.730E+01, 6.997E+02, 7.733E+01
 1.300E+02, 4.785E+02, 0.000E+00, 5.812E+02, 4.433E+01, 7.054E+02, 8.199E+01
 1.400E+02, 4.851E+02, 0.000E+00, 5.871E+02, 4.018E+01, 7.102E+02, 8.636E+01
 1.500E+02, 4.910E+02, 0.000E+00, 5.923E+02, 3.806E+01, 7.145E+02, 8.457E+01
 1.600E+02, 4.963E+02, 0.000E+00, 5.969E+02, 3.868E+01, 7.182E+02, 8.020E+01
 1.700E+02, 5.010E+02, 0.000E+00, 6.009E+02, 4.065E+01, 7.214E+02, 7.582E+01
 1.800E+02, 5.052E+02, 0.000E+00, 6.044E+02, 4.270E+01, 7.242E+02, 7.144E+01
 1.900E+02, 5.090E+02, 0.000E+00, 6.076E+02, 4.388E+01, 7.267E+02, 6.853E+01
 2.000E+02, 5.124E+02, 0.000E+00, 6.104E+02, 4.513E+01, 7.288E+02, 6.755E+01
 2.100E+02, 5.154E+02, 0.000E+00, 6.128E+02, 5.056E+01, 7.307E+02, 7.203E+01
 2.200E+02, 5.181E+02, 0.000E+00, 6.150E+02, 5.846E+01, 7.324E+02, 8.257E+01
 2.300E+02, 5.205E+02, 0.000E+00, 6.169E+02, 6.503E+01, 7.338E+02, 9.462E+01
 2.400E+02, 5.226E+02, 0.000E+00, 6.186E+02, 6.808E+01, 7.351E+02, 1.113E+02
 2.500E+02, 5.246E+02, 0.000E+00, 6.201E+02, 7.021E+01, 7.362E+02, 1.281E+02
 2.600E+02, 5.263E+02, 0.000E+00, 6.214E+02, 7.280E+01, 7.371E+02, 1.344E+02
 2.700E+02, 5.278E+02, 0.000E+00, 6.226E+02, 7.676E+01, 7.380E+02, 1.372E+02
 2.800E+02, 5.292E+02, 0.000E+00, 6.237E+02, 8.040E+01, 7.387E+02, 1.398E+02
 2.900E+02, 5.305E+02, 0.000E+00, 6.246E+02, 8.358E+01, 7.394E+02, 1.457E+02
 3.000E+02, 5.316E+02, 0.000E+00, 6.254E+02, 8.632E+01, 7.399E+02, 1.604E+02
 3.100E+02, 5.326E+02, 0.000E+00, 6.261E+02, 8.854E+01, 7.404E+02, 1.764E+02
 3.200E+02, 5.334E+02, 0.000E+00, 6.268E+02, 9.243E+01, 7.409E+02, 1.822E+02
 3.300E+02, 5.342E+02, 0.000E+00, 6.273E+02, 9.742E+01, 7.412E+02, 1.918E+02
 3.400E+02, 5.350E+02, 0.000E+00, 6.278E+02, 1.023E+02, 7.416E+02, 2.107E+02
 3.500E+02, 5.356E+02, 0.000E+00, 6.283E+02, 1.069E+02, 7.419E+02, 2.244E+02
 3.600E+02, 5.362E+02, 1.840E+01, 6.287E+02, 1.108E+02, 7.421E+02, 2.444E+02
 3.700E+02, 5.367E+02, 4.209E+01, 6.290E+02, 1.188E+02, 7.423E+02, 2.576E+02
