s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_2p30_025","HRRPUA-CONE_2p30_025","WALL TEMPERATURE-CONE_2p30_035","HRRPUA-CONE_2p30_035","WALL TEMPERATURE-CONE_2p30_050","HRRPUA-CONE_2p30_050","WALL TEMPERATURE-CONE_2p30_075","HRRPUA-CONE_2p30_075"
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 9.073E+01, 0.000E+00, 1.160E+02, 0.000E+00, 1.535E+02, 0.000E+00, 2.150E+02, 0.000E+00
 2.000E+01, 1.587E+02, 0.000E+00, 2.096E+02, 0.000E+00, 2.836E+02, 0.000E+00, 3.992E+02, 0.000E+00
 3.000E+01, 2.095E+02, 0.000E+00, 2.775E+02, 0.000E+00, 3.731E+02, 0.000E+00, 5.132E+02, 9.278E-03
 4.000E+01, 2.539E+02, 0.000E+00, 3.347E+02, 0.000E+00, 4.435E+02, 0.000E+00, 5.930E+02, 1.041E+02
 5.000E+01, 2.925E+02, 0.000E+00, 3.820E+02, 0.000E+00, 4.975E+02, 0.000E+00, 6.471E+02, 2.689E+02
 6.000E+01, 3.257E+02, 0.000E+00, 4.205E+02, 0.000E+00, 5.380E+02, 0.000E+00, 6.835E+02, 3.423E+02
 7.000E+01, 3.540E+02, 0.000E+00, 4.514E+02, 0.000E+00, 5.680E+02, 3.086E-01, 7.078E+02, 4.009E+02
 8.000E+01, 3.778E+02, 0.000E+00, 4.760E+02, 0.000E+00, 5.900E+02, 3.973E+01, 7.242E+02, 3.970E+02
 9.000E+01, 3.977E+02, 0.000E+00, 4.953E+02, 0.000E+00, 6.062E+02, 1.242E+02, 7.352E+02, 3.173E+02
 1.000E+02, 4.142E+02, 0.000E+00, 5.104E+02, 0.000E+00, 6.180E+02, 2.085E+02, 7.428E+02, 2.516E+02
 1.100E+02, 4.278E+02, 0.000E+00, 5.221E+02, 0.000E+00, 6.266E+02, 2.564E+02, 7.480E+02, 2.138E+02
 1.200E+02, 4.389E+02, 0.000E+00, 5.312E+02, 0.000E+00, 6.329E+02, 2.906E+02, 7.515E+02, 1.741E+02
 1.300E+02, 4.480E+02, 0.000E+00, 5.383E+02, 0.000E+00, 6.376E+02, 2.830E+02, 7.540E+02, 1.275E+02
 1.400E+02, 4.554E+02, 0.000E+00, 5.438E+02, 3.038E+00, 6.410E+02, 2.493E+02, 7.557E+02, 9.675E+01
 1.500E+02, 4.614E+02, 0.000E+00, 5.480E+02, 2.419E+01, 6.435E+02, 2.084E+02, 7.569E+02, 8.662E+01
 1.600E+02, 4.663E+02, 0.000E+00, 5.513E+02, 4.261E+01, 6.453E+02, 1.560E+02, 7.577E+02, 8.197E+01
 1.700E+02, 4.703E+02, 0.000E+00, 5.538E+02, 5.845E+01, 6.467E+02, 1.160E+02, 7.583E+02, 8.052E+01
 1.800E+02, 4.734E+02, 0.000E+00, 5.558E+02, 7.272E+01, 6.477E+02, 1.034E+02, 7.587E+02, 7.909E+01
 1.900E+02, 4.760E+02, 0.000E+00, 5.573E+02, 8.675E+01, 6.484E+02, 9.642E+01, 7.590E+02, 7.765E+01
