s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_22p70_030","HRRPUA-CONE_22p70_030","WALL TEMPERATURE-CONE_22p70_035","HRRPUA-CONE_22p70_035","WALL TEMPERATURE-CONE_22p70_050","HRRPUA-CONE_22p70_050","WALL TEMPERATURE-CONE_22p70_075","HRRPUA-CONE_22p70_075"
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 1.567E+02, 0.000E+00, 1.775E+02, 0.000E+00, 2.383E+02, 0.000E+00, 3.334E+02, 0.000E+00
 2.000E+01, 2.667E+02, 0.000E+00, 3.023E+02, 0.000E+00, 4.006E+02, 0.000E+00, 5.379E+02, 0.000E+00
 3.000E+01, 3.168E+02, 0.000E+00, 3.566E+02, 0.000E+00, 4.620E+02, 0.000E+00, 5.997E+02, 0.000E+00
 4.000E+01, 3.491E+02, 0.000E+00, 3.903E+02, 0.000E+00, 4.969E+02, 0.000E+00, 6.316E+02, 6.171E+00
 5.000E+01, 3.716E+02, 0.000E+00, 4.133E+02, 0.000E+00, 5.193E+02, 0.000E+00, 6.510E+02, 6.384E+01
 6.000E+01, 3.883E+02, 0.000E+00, 4.300E+02, 0.000E+00, 5.349E+02, 0.000E+00, 6.642E+02, 1.406E+02
 7.000E+01, 4.013E+02, 0.000E+00, 4.427E+02, 0.000E+00, 5.466E+02, 0.000E+00, 6.739E+02, 1.959E+02
 8.000E+01, 4.116E+02, 0.000E+00, 4.529E+02, 0.000E+00, 5.558E+02, 0.000E+00, 6.815E+02, 1.843E+02
 9.000E+01, 4.203E+02, 0.000E+00, 4.613E+02, 0.000E+00, 5.632E+02, 1.194E-04, 6.877E+02, 1.663E+02
 1.000E+02, 4.275E+02, 0.000E+00, 4.683E+02, 0.000E+00, 5.694E+02, 2.153E+01, 6.928E+02, 1.411E+02
 1.100E+02, 4.338E+02, 0.000E+00, 4.743E+02, 0.000E+00, 5.748E+02, 7.665E+01, 6.973E+02, 1.291E+02
 1.200E+02, 4.393E+02, 0.000E+00, 4.796E+02, 0.000E+00, 5.794E+02, 1.073E+02, 7.011E+02, 1.188E+02
 1.300E+02, 4.441E+02, 0.000E+00, 4.842E+02, 0.000E+00, 5.835E+02, 1.183E+02, 7.045E+02, 1.081E+02
 1.400E+02, 4.485E+02, 0.000E+00, 4.884E+02, 0.000E+00, 5.871E+02, 1.220E+02, 7.075E+02, 9.347E+01
 1.500E+02, 4.524E+02, 0.000E+00, 4.922E+02, 0.000E+00, 5.904E+02, 1.260E+02, 7.103E+02, 8.058E+01
 1.600E+02, 4.560E+02, 0.000E+00, 4.956E+02, 0.000E+00, 5.934E+02, 1.284E+02, 7.128E+02, 7.257E+01
 1.700E+02, 4.594E+02, 0.000E+00, 4.988E+02, 0.000E+00, 5.962E+02, 1.182E+02, 7.151E+02, 6.875E+01
 1.800E+02, 4.624E+02, 0.000E+00, 5.017E+02, 1.936E+00, 5.988E+02, 1.070E+02, 7.173E+02, 6.859E+01
 1.900E+02, 4.653E+02, 0.000E+00, 5.044E+02, 8.619E+00, 6.012E+02, 9.191E+01, 7.193E+02, 7.016E+01
 2.000E+02, 4.680E+02, 0.000E+00, 5.070E+02, 2.338E+01, 6.034E+02, 7.274E+01, 7.212E+02, 7.221E+01
 2.100E+02, 4.705E+02, 0.000E+00, 5.094E+02, 4.400E+01, 6.055E+02, 6.275E+01, 7.230E+02, 7.624E+01
 2.200E+02, 4.729E+02, 0.000E+00, 5.117E+02, 5.715E+01, 6.075E+02, 5.570E+01, 7.246E+02, 8.317E+01
 2.300E+02, 4.752E+02, 0.000E+00, 5.138E+02, 6.361E+01, 6.094E+02, 5.133E+01, 7.262E+02, 9.439E+01
 2.400E+02, 4.773E+02, 0.000E+00, 5.159E+02, 6.872E+01, 6.112E+02, 4.769E+01, 7.277E+02, 1.050E+02
 2.500E+02, 4.793E+02, 0.000E+00, 5.178E+02, 6.400E+01, 6.129E+02, 4.560E+01, 7.292E+02, 1.184E+02
