s,kW/m2,kW/m2
Time,"HRRPUA-40","HRRPUA-50"
 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+00, 0.000E+00, 0.000E+00
 4.000E+00, 0.000E+00, 0.000E+00
 5.000E+00, 0.000E+00, 0.000E+00
 7.000E+00, 0.000E+00, 0.000E+00
 8.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00
 1.200E+01, 0.000E+00, 0.000E+00
 1.300E+01, 0.000E+00, 0.000E+00
 1.500E+01, 0.000E+00, 0.000E+00
 1.600E+01, 0.000E+00, 0.000E+00
 1.800E+01, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00
 2.100E+01, 0.000E+00, 0.000E+00
 2.300E+01, 0.000E+00, 0.000E+00
 2.400E+01, 0.000E+00, 0.000E+00
 2.600E+01, 0.000E+00, 0.000E+00
 2.800E+01, 0.000E+00, 0.000E+00
 2.900E+01, 0.000E+00, 0.000E+00
 3.100E+01, 0.000E+00, 0.000E+00
 3.200E+01, 0.000E+00, 0.000E+00
 3.400E+01, 0.000E+00, 0.000E+00
 3.600E+01, 0.000E+00, 0.000E+00
 3.700E+01, 0.000E+00, 0.000E+00
 3.900E+01, 0.000E+00, 0.000E+00
 4.000E+01, 0.000E+00, 0.000E+00
 4.200E+01, 0.000E+00, 0.000E+00
 4.400E+01, 0.000E+00, 0.000E+00
 4.500E+01, 0.000E+00, 0.000E+00
 4.700E+01, 0.000E+00, 0.000E+00
 4.800E+01, 0.000E+00, 0.000E+00
 5.000E+01, 0.000E+00, 0.000E+00
 5.200E+01, 0.000E+00, 0.000E+00
 5.300E+01, 0.000E+00, 0.000E+00
 5.500E+01, 0.000E+00, 0.000E+00
 5.600E+01, 0.000E+00, 0.000E+00
 5.800E+01, 0.000E+00, 0.000E+00
 6.000E+01, 0.000E+00, 0.000E+00
 6.100E+01, 0.000E+00, 0.000E+00
 6.300E+01, 0.000E+00, 0.000E+00
 6.400E+01, 0.000E+00, 0.000E+00
 6.600E+01, 0.000E+00, 0.000E+00
 6.800E+01, 0.000E+00, 0.000E+00
 6.900E+01, 0.000E+00, 0.000E+00
 7.100E+01, 0.000E+00, 0.000E+00
 7.200E+01, 0.000E+00, 0.000E+00
 7.400E+01, 0.000E+00, 0.000E+00
 7.600E+01, 0.000E+00, 3.656E+01
 7.700E+01, 0.000E+00, 1.368E+02
