s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,
Time,"SPRINKLER 1","SPRINKLER 2","SPRINKLER 3","SPRINKLER 4","TC_1_01","TC_1_02","TC_1_03","TC_1_04","TC_1_05","TC_1_06","TC_1_07","TC_1_08","TC_1_09","TC_1_10","TC_1_11","TC_1_12","TC_2_01","TC_2_02","TC_2_03","TC_2_04","TC_2_05","TC_2_06","TC_2_07","TC_2_08","TC_2_09","TC_2_10","TC_2_11","TC_2_12","TC_3_01","TC_3_02","TC_3_03","TC_3_04","TC_3_05","TC_3_06","TC_3_07","TC_3_08","TC_3_09","TC_3_10","TC_3_11","TC_3_12","TC_4_01","TC_4_02","TC_4_03","TC_4_04","TC_4_05","TC_4_06","TC_4_07","TC_4_08","TC_4_09","TC_4_10","TC_4_11","TC_4_12","BDP_1_01","BDP_1_02","BDP_1_03","BDP_1_04","BDP_2_01","BDP_2_02","BDP_2_03","BDP_2_04","Acts"
 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 3.072E-03, 9.549E-03, 6.246E-03, 5.958E-03, 4.697E-03, 4.393E-03, 8.857E-03, 2.970E-03, 0.000E+00
 4.014E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 3.655E-03, 9.133E-03, 5.871E-03, 6.411E-03, 4.299E-03, 4.289E-03, 8.214E-03, 2.204E-03, 0.000E+00
 8.013E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 1.937E-02, 1.517E-02, 1.593E-02, 2.050E-02, 3.608E-03, 4.209E-03, 7.174E-03, 1.090E-03, 0.000E+00
 1.200E+01, 2.024E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.262E+01, 2.262E+01, 2.158E+01, 2.158E+01, 2.158E+01, 2.063E+01, 2.063E+01, 2.016E+01, 2.006E+01, 2.006E+01, 2.006E+01, 2.005E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.004E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.004E+01, 8.623E-01, 3.061E-01, 1.089E-01, 1.283E-01, 3.292E-03, 4.717E-03, 6.739E-03, 1.675E-03, 0.000E+00
 1.602E+01, 2.112E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.909E+01, 2.909E+01, 2.503E+01, 2.503E+01, 2.503E+01, 2.194E+01, 2.194E+01, 2.056E+01, 2.016E+01, 2.012E+01, 2.012E+01, 2.011E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.008E+01, 2.009E+01, 2.008E+01, 2.006E+01, 2.006E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.009E+01, 9.824E-01, 4.822E-01, 1.788E-01, 1.159E-01, 8.083E-03, 1.126E-02, 1.197E-02, 9.292E-03, 0.000E+00
 2.000E+01, 2.202E+01, 2.000E+01, 2.000E+01, 2.000E+01, 3.233E+01, 3.233E+01, 2.818E+01, 2.818E+01, 2.818E+01, 2.380E+01, 2.380E+01, 2.132E+01, 2.032E+01, 2.020E+01, 2.019E+01, 2.018E+01, 2.013E+01, 2.013E+01, 2.013E+01, 2.013E+01, 2.013E+01, 2.013E+01, 2.013E+01, 2.013E+01, 2.013E+01, 2.014E+01, 2.015E+01, 2.014E+01, 2.011E+01, 2.011E+01, 2.012E+01, 2.012E+01, 2.012E+01, 2.012E+01, 2.012E+01, 2.012E+01, 2.012E+01, 2.012E+01, 2.012E+01, 2.012E+01, 2.012E+01, 2.012E+01, 2.012E+01, 2.012E+01, 2.012E+01, 2.012E+01, 2.012E+01, 2.012E+01, 2.012E+01, 2.013E+01, 2.013E+01, 2.015E+01, 1.073E+00, 4.658E-01, 1.705E-01, 1.465E-01, 7.999E-02, 6.298E-02, 5.891E-02, 5.575E-02, 0.000E+00
 2.401E+01, 2.323E+01, 2.009E+01, 2.001E+01, 2.004E+01, 3.652E+01, 3.652E+01, 3.090E+01, 3.090E+01, 3.090E+01, 2.533E+01, 2.533E+01, 2.207E+01, 2.074E+01, 2.030E+01, 2.029E+01, 2.027E+01, 2.126E+01, 2.126E+01, 2.101E+01, 2.101E+01, 2.101E+01, 2.077E+01, 2.077E+01, 2.065E+01, 2.052E+01, 2.033E+01, 2.026E+01, 2.023E+01, 2.017E+01, 2.017E+01, 2.019E+01, 2.019E+01, 2.019E+01, 2.019E+01, 2.019E+01, 2.019E+01, 2.019E+01, 2.019E+01, 2.019E+01, 2.019E+01, 2.067E+01, 2.067E+01, 2.059E+01, 2.059E+01, 2.059E+01, 2.045E+01, 2.045E+01, 2.031E+01, 2.023E+01, 2.021E+01, 2.021E+01, 2.024E+01, 1.188E+00, 5.051E-01, 2.759E-01, 2.673E-01, 4.258E-01, 3.068E-01, 2.584E-01, 2.367E-01, 0.000E+00
 2.801E+01, 2.489E+01, 2.044E+01, 2.005E+01, 2.023E+01, 4.209E+01, 4.209E+01, 3.450E+01, 3.450E+01, 3.450E+01, 2.651E+01, 2.651E+01, 2.244E+01, 2.114E+01, 2.043E+01, 2.040E+01, 2.037E+01, 2.454E+01, 2.454E+01, 2.437E+01, 2.437E+01, 2.437E+01, 2.362E+01, 2.362E+01, 2.314E+01, 2.265E+01, 2.181E+01, 2.136E+01, 2.034E+01, 2.081E+01, 2.081E+01, 2.072E+01, 2.072E+01, 2.072E+01, 2.061E+01, 2.061E+01, 2.052E+01, 2.042E+01, 2.029E+01, 2.029E+01, 2.028E+01, 2.268E+01, 2.268E+01, 2.226E+01, 2.226E+01, 2.226E+01, 2.168E+01, 2.168E+01, 2.116E+01, 2.071E+01, 2.031E+01, 2.031E+01, 2.034E+01, 1.273E+00, 4.480E-01, 2.213E-01, 1.904E-01, 6.329E-01, 5.861E-01, 5.251E-01, 4.451E-01, 0.000E+00
 3.201E+01, 2.678E+01, 2.102E+01, 2.017E+01, 2.060E+01, 4.612E+01, 4.612E+01, 3.747E+01, 3.747E+01, 3.747E+01, 2.777E+01, 2.777E+01, 2.252E+01, 2.113E+01, 2.054E+01, 2.052E+01, 2.049E+01, 2.814E+01, 2.814E+01, 2.774E+01, 2.774E+01, 2.774E+01, 2.540E+01, 2.540E+01, 2.361E+01, 2.262E+01, 2.184E+01, 2.147E+01, 2.045E+01, 2.181E+01, 2.181E+01, 2.187E+01, 2.187E+01, 2.187E+01, 2.181E+01, 2.181E+01, 2.180E+01, 2.171E+01, 2.057E+01, 2.041E+01, 2.038E+01, 2.559E+01, 2.559E+01, 2.395E+01, 2.395E+01, 2.395E+01, 2.234E+01, 2.234E+01, 2.131E+01, 2.080E+01, 2.041E+01, 2.041E+01, 2.045E+01, 1.320E+00, 4.890E-01, 2.195E-01, 1.239E-01, 5.806E-01, 5.689E-01, 4.602E-01, 2.587E-01, 0.000E+00
