s,status,status,status,status
Time,"Act1","Act2","Act3","Act4"
 0.000E+00,-1,-1,-1,-1
 1.000E-01,-1,-1,-1,-1
 2.000E-01,-1,-1,-1,-1
 3.000E-01,-1,-1,-1,-1
 4.000E-01,-1,-1,-1,-1
 5.000E-01,-1,-1,-1,-1
 6.000E-01,-1,-1,-1,-1
 7.000E-01,-1,-1,-1,-1
 8.000E-01,-1,-1,-1,-1
 9.000E-01,-1,-1,-1,-1
 1.000E+00,-1,-1,-1,-1
 1.100E+00,-1,-1,-1,-1
 1.200E+00,-1,-1,-1,-1
 1.345E+00,-1,-1,-1,-1
 1.401E+00,-1,-1,-1,-1
 1.521E+00,-1,-1,-1,-1
 1.612E+00,-1,-1,-1,-1
 1.710E+00,-1,-1,-1,-1
 1.815E+00,-1,-1,-1,-1
 1.912E+00,-1,-1,-1,-1
 2.010E+00,-1,-1,-1,-1
 2.102E+00,-1,-1,-1,-1
 2.207E+00,-1,-1,-1,-1
 2.312E+00,-1,-1,-1,-1
 2.417E+00,-1,-1,-1,-1
 2.505E+00,-1,-1,-1,-1
 2.610E+00,-1,-1,-1,-1
 2.711E+00,-1,-1,-1,-1
 2.803E+00,-1,-1,-1,-1
 2.911E+00,-1,-1,-1,-1
 3.004E+00,-1,-1,-1,-1
 3.112E+00,-1,-1,-1,-1
 3.204E+00,-1,-1,-1,-1
 3.312E+00,-1,-1,-1,-1
 3.410E+00,-1,-1,-1,-1
 3.512E+00,-1,-1,-1,-1
 3.614E+00,-1,-1,-1,-1
 3.715E+00,-1,-1,-1,-1
 3.800E+00,-1,-1,-1,-1
 3.902E+00,-1,-1,-1,-1
 4.003E+00,-1,-1,-1,-1
 4.105E+00,-1,-1,-1,-1
 4.207E+00,-1,-1,-1,-1
 4.313E+00,-1,-1,-1,-1
 4.403E+00,-1,-1,-1,-1
 4.507E+00,-1,-1,-1,-1
 4.612E+00,-1,-1,-1,-1
 4.702E+00,-1,-1,-1,-1
 4.806E+00,-1,-1,-1,-1
 4.911E+00,-1,-1,-1,-1
 5.001E+00,-1,-1,-1,-1
 5.105E+00,-1,-1,-1,-1
 5.208E+00,-1,-1,-1,-1
 5.301E+00,-1,-1,-1,-1
