s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 0.000E+00, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 0.000E+00
 4.017E+00, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.101E+01, 2.101E+01, 2.101E+01, 2.101E+01, 2.101E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 0.000E+00
 8.002E+00, 2.100E+01, 2.100E+01, 2.100E+01, 2.101E+01, 2.101E+01, 2.102E+01, 2.206E+01, 5.369E+01, 4.158E+01, 3.101E+01, 2.294E+01, 2.151E+01, 2.102E+01, 2.447E+01, 2.378E+01, 2.143E+01, 2.101E+01, 2.101E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.101E+01, 2.101E+01, 0.000E+00
 1.201E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.101E+01, 2.103E+01, 2.105E+01, 2.598E+01, 7.396E+01, 5.963E+01, 3.766E+01, 2.391E+01, 2.402E+01, 2.202E+01, 4.612E+01, 4.321E+01, 3.251E+01, 2.173E+01, 2.103E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.101E+01, 2.102E+01, 2.102E+01, 0.000E+00
 1.601E+01, 2.101E+01, 2.332E+01, 2.455E+01, 2.674E+01, 2.630E+01, 2.109E+01, 3.106E+01, 8.760E+01, 6.947E+01, 4.548E+01, 2.267E+01, 2.174E+01, 2.459E+01, 6.330E+01, 5.766E+01, 3.375E+01, 2.939E+01, 2.421E+01, 2.100E+01, 2.100E+01, 2.101E+01, 2.134E+01, 2.103E+01, 2.103E+01, 0.000E+00
 2.001E+01, 2.136E+01, 3.587E+01, 3.390E+01, 2.717E+01, 2.169E+01, 2.114E+01, 3.713E+01, 9.936E+01, 8.031E+01, 5.008E+01, 2.534E+01, 2.267E+01, 2.799E+01, 7.052E+01, 6.656E+01, 5.448E+01, 4.915E+01, 2.925E+01, 2.124E+01, 3.299E+01, 3.409E+01, 3.295E+01, 2.523E+01, 2.114E+01, 0.000E+00
 2.400E+01, 2.216E+01, 4.342E+01, 4.092E+01, 2.978E+01, 2.253E+01, 2.118E+01, 4.380E+01, 1.134E+02, 9.746E+01, 7.248E+01, 3.935E+01, 3.230E+01, 3.159E+01, 7.885E+01, 7.811E+01, 6.487E+01, 5.041E+01, 2.517E+01, 2.198E+01, 4.133E+01, 4.148E+01, 4.057E+01, 3.911E+01, 3.342E+01, 0.000E+00
 2.800E+01, 2.317E+01, 5.293E+01, 5.268E+01, 4.447E+01, 2.926E+01, 2.248E+01, 5.178E+01, 1.270E+02, 1.056E+02, 7.495E+01, 4.032E+01, 2.948E+01, 3.568E+01, 9.346E+01, 8.648E+01, 6.581E+01, 5.180E+01, 2.852E+01, 2.299E+01, 4.793E+01, 4.932E+01, 4.916E+01, 4.015E+01, 2.803E+01, 0.000E+00
 3.200E+01, 2.461E+01, 6.130E+01, 6.012E+01, 5.053E+01, 3.933E+01, 3.505E+01, 6.041E+01, 1.409E+02, 1.078E+02, 7.660E+01, 4.893E+01, 3.397E+01, 4.112E+01, 1.112E+02, 1.085E+02, 8.578E+01, 5.046E+01, 2.927E+01, 2.389E+01, 5.305E+01, 5.389E+01, 5.751E+01, 5.317E+01, 3.538E+01, 0.000E+00
