s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 0.000E+00
 4.007E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 0.000E+00
 8.007E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.701E+01, 2.702E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.701E+01, 2.702E+01, 2.700E+01, 2.702E+01, 2.702E+01, 2.702E+01, 2.704E+01, 2.704E+01, 2.700E+01, 2.701E+01, 2.702E+01, 2.707E+01, 2.736E+01, 2.704E+01, 0.000E+00
 1.201E+01, 2.701E+01, 2.930E+01, 3.055E+01, 3.137E+01, 3.143E+01, 2.704E+01, 2.704E+01, 3.127E+01, 3.194E+01, 3.169E+01, 3.174E+01, 2.704E+01, 2.709E+01, 3.480E+01, 3.184E+01, 3.055E+01, 2.745E+01, 2.710E+01, 2.703E+01, 3.113E+01, 3.138E+01, 3.100E+01, 2.747E+01, 2.709E+01, 0.000E+00
 1.600E+01, 2.753E+01, 3.976E+01, 3.769E+01, 3.395E+01, 3.423E+01, 2.706E+01, 2.743E+01, 3.816E+01, 3.800E+01, 3.441E+01, 3.306E+01, 2.706E+01, 2.761E+01, 3.802E+01, 3.244E+01, 3.095E+01, 2.719E+01, 2.716E+01, 2.750E+01, 4.275E+01, 3.458E+01, 3.299E+01, 2.722E+01, 2.716E+01, 0.000E+00
 2.000E+01, 2.823E+01, 4.138E+01, 4.068E+01, 3.744E+01, 3.856E+01, 2.709E+01, 2.831E+01, 4.388E+01, 4.168E+01, 3.752E+01, 3.496E+01, 2.709E+01, 2.823E+01, 3.980E+01, 2.930E+01, 2.804E+01, 2.724E+01, 2.724E+01, 2.825E+01, 4.261E+01, 3.249E+01, 3.140E+01, 2.907E+01, 2.724E+01, 0.000E+00
 2.401E+01, 2.909E+01, 4.745E+01, 4.564E+01, 4.050E+01, 3.896E+01, 2.724E+01, 2.910E+01, 4.479E+01, 4.480E+01, 4.200E+01, 3.958E+01, 2.756E+01, 2.876E+01, 4.461E+01, 3.267E+01, 3.035E+01, 2.926E+01, 2.728E+01, 2.898E+01, 4.382E+01, 3.379E+01, 3.159E+01, 2.750E+01, 2.730E+01, 0.000E+00
 2.800E+01, 3.029E+01, 5.264E+01, 5.163E+01, 4.700E+01, 4.374E+01, 2.895E+01, 2.981E+01, 4.980E+01, 4.894E+01, 4.539E+01, 4.308E+01, 2.725E+01, 2.965E+01, 4.595E+01, 4.109E+01, 3.830E+01, 3.535E+01, 2.794E+01, 2.962E+01, 4.376E+01, 3.709E+01, 3.475E+01, 3.272E+01, 2.737E+01, 0.000E+00
 3.200E+01, 3.163E+01, 5.785E+01, 5.838E+01, 5.783E+01, 5.401E+01, 3.135E+01, 3.110E+01, 5.684E+01, 5.633E+01, 5.606E+01, 5.307E+01, 2.743E+01, 3.046E+01, 4.918E+01, 4.357E+01, 4.148E+01, 4.074E+01, 2.944E+01, 3.033E+01, 4.834E+01, 4.317E+01, 4.117E+01, 3.994E+01, 3.356E+01, 0.000E+00
