s,C,C,kg/m2,kW/kg
Time,"null","null","null","hrrpum"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 1.6000000E-002, 0.0000000E+000
 1.0000000E+000, 2.0960000E+001, 2.0000000E+001, 1.6000000E-002, 1.1089165E-013
 2.0000000E+000, 2.2080000E+001, 2.0146185E+001, 1.6000000E-002, 1.1089165E-013
 3.0000000E+000, 2.3040000E+001, 2.0566467E+001, 1.6000000E-002, 1.1723586E-013
 4.0000000E+000, 2.4000000E+001, 2.1031054E+001, 1.6000000E-002, 1.3753060E-013
 5.0000000E+000, 2.4960000E+001, 2.1653238E+001, 1.6000000E-002, 1.6399210E-013
 6.0000000E+000, 2.6080000E+001, 2.2383532E+001, 1.6000000E-002, 2.0738845E-013
 7.0000000E+000, 2.7040000E+001, 2.3218547E+001, 1.6000000E-002, 2.7285124E-013
 8.0000000E+000, 2.8000000E+001, 2.4123514E+001, 1.6000000E-002, 3.7275378E-013
 9.0000000E+000, 2.8960000E+001, 2.5054869E+001, 1.6000000E-002, 5.2169979E-013
 1.0000000E+001, 3.0080000E+001, 2.6001393E+001, 1.6000000E-002, 7.3576951E-013
 1.1000000E+001, 3.1040000E+001, 2.6988032E+001, 1.6000000E-002, 1.0412423E-012
 1.2000000E+001, 3.2000000E+001, 2.7998758E+001, 1.6000000E-002, 1.4918688E-012
 1.3000000E+001, 3.2960000E+001, 2.9002661E+001, 1.6000000E-002, 2.1511555E-012
 1.4000000E+001, 3.4080000E+001, 2.9998546E+001, 1.6000000E-002, 3.0865811E-012
 1.5000000E+001, 3.5040000E+001, 3.1019462E+001, 1.6000000E-002, 4.4056972E-012
 1.6000000E+001, 3.6000000E+001, 3.2053659E+001, 1.6000000E-002, 6.3295809E-012
 1.7000000E+001, 3.6960000E+001, 3.3072601E+001, 1.6000000E-002, 9.1142226E-012
 1.8000000E+001, 3.8080000E+001, 3.4077838E+001, 1.6000000E-002, 1.3021854E-011
 1.9000000E+001, 3.9040000E+001, 3.5105332E+001, 1.6000000E-002, 1.8473293E-011
 2.0000000E+001, 4.0000000E+001, 3.6143892E+001, 1.6000000E-002, 2.6347793E-011
 2.1000000E+001, 4.0960000E+001, 3.7164736E+001, 1.6000000E-002, 3.7633479E-011
 2.2000000E+001, 4.2080000E+001, 3.8170358E+001, 1.6000000E-002, 5.3302027E-011
 2.3000000E+001, 4.3040000E+001, 3.9198367E+001, 1.6000000E-002, 7.4937503E-011
 2.4000000E+001, 4.4000000E+001, 4.0237199E+001, 1.6000000E-002, 1.0591391E-010
 2.5000000E+001, 4.4960000E+001, 4.1257191E+001, 1.6000000E-002, 1.4989879E-010
 2.6000000E+001, 4.6080000E+001, 4.2261374E+001, 1.6000000E-002, 2.1034288E-010
 2.7000000E+001, 4.7040000E+001, 4.3288727E+001, 1.6000000E-002, 2.9299309E-010
