s,kW/m2
Time,"flux"
 0.000E+00,-2.161E-10
 1.000E+00, 2.729E-03
 2.000E+00, 1.601E-02
 3.050E+00, 2.515E-02
 4.050E+00, 2.706E-02
 5.050E+00, 2.738E-02
 6.050E+00, 2.750E-02
 7.050E+00, 2.758E-02
 8.050E+00, 2.764E-02
 9.050E+00, 2.766E-02
 1.000E+01, 2.763E-02
 1.101E+01, 2.376E-02
 1.201E+01, 2.288E-02
 1.301E+01, 2.280E-02
 1.400E+01, 2.296E-02
 1.501E+01, 2.295E-02
 1.600E+01, 2.276E-02
 1.701E+01, 2.259E-02
 1.801E+01, 2.246E-02
 1.900E+01, 2.241E-02
 2.001E+01, 2.257E-02
 2.101E+01, 2.261E-02
 2.200E+01, 2.267E-02
 2.301E+01, 2.267E-02
 2.400E+01, 2.285E-02
 2.500E+01, 2.275E-02
 2.600E+01, 2.250E-02
 2.701E+01, 2.255E-02
 2.801E+01, 2.291E-02
 2.901E+01, 2.283E-02
 3.000E+01, 2.278E-02
