s,kW/m2
Time,"flux"
 0.000E+00,-9.903E-10
 1.000E+00, 2.733E-03
 2.000E+00, 1.605E-02
 3.050E+00, 2.524E-02
 4.050E+00, 2.717E-02
 5.050E+00, 2.748E-02
 6.050E+00, 2.756E-02
 7.050E+00, 2.760E-02
 8.050E+00, 2.763E-02
 9.050E+00, 2.765E-02
 1.000E+01, 2.766E-02
 1.100E+01, 2.318E-02
 1.201E+01, 2.203E-02
 1.300E+01, 2.227E-02
 1.401E+01, 2.170E-02
 1.500E+01, 2.161E-02
 1.600E+01, 2.149E-02
 1.700E+01, 2.122E-02
 1.801E+01, 2.031E-02
 1.901E+01, 2.060E-02
 2.000E+01, 2.045E-02
 2.100E+01, 2.057E-02
 2.200E+01, 2.081E-02
 2.301E+01, 2.061E-02
 2.401E+01, 2.098E-02
 2.501E+01, 2.123E-02
 2.600E+01, 2.093E-02
 2.700E+01, 2.108E-02
 2.800E+01, 2.081E-02
 2.901E+01, 2.081E-02
 3.000E+01, 2.084E-02
