s,%,%,%,%,%,%,%,m/s,m/s
Time,Sensor #1,Sensor #2,Sensor #3,Sensor #4,Sensor #5,Sensor #6,Sensor #7,TOPD_V,BOTTOMD_V
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.991E+01, 3.149E-18, 2.827E-14, 1.414E-10, 4.788E-08, 5.079E-05, 2.058E-02, 1.233E+00, 2.637E-01, 2.637E-01
 1.199E+02, 1.134E-11, 6.279E-09, 2.042E-06, 1.031E-04, 1.025E-02, 4.418E-01, 5.042E+00, 2.655E-01, 2.655E-01
 1.799E+02, 1.364E-08, 1.993E-06, 1.853E-04, 3.804E-03, 1.161E-01, 1.659E+00, 8.706E+00, 2.656E-01, 2.654E-01
 2.399E+02, 1.077E-06, 6.686E-05, 2.718E-03, 3.075E-02, 4.486E-01, 3.340E+00, 1.196E+01, 2.656E-01, 2.654E-01
 2.999E+02, 2.080E-05, 6.886E-04, 1.556E-02, 1.176E-01, 1.036E+00, 5.227E+00, 1.487E+01, 2.659E-01, 2.652E-01
 3.599E+02, 1.847E-04, 3.812E-03, 5.342E-02, 2.944E-01, 1.844E+00, 7.193E+00, 1.749E+01, 2.663E-01, 2.648E-01
 4.199E+02, 9.815E-04, 1.344E-02, 1.295E-01, 5.758E-01, 2.828E+00, 9.166E+00, 1.986E+01, 2.670E-01, 2.641E-01
 4.799E+02, 3.332E-03, 3.367E-02, 2.560E-01, 9.651E-01, 3.942E+00, 1.111E+01, 2.204E+01, 2.679E-01, 2.632E-01
 5.399E+02, 8.679E-03, 7.033E-02, 4.401E-01, 1.455E+00, 5.149E+00, 1.300E+01, 2.406E+01, 2.690E-01, 2.621E-01
 5.999E+02, 1.928E-02, 1.286E-01, 6.846E-01, 2.038E+00, 6.419E+00, 1.483E+01, 2.593E+01, 2.702E-01, 2.608E-01
 6.599E+02, 3.757E-02, 2.126E-01, 9.902E-01, 2.700E+00, 7.731E+00, 1.659E+01, 2.767E+01, 2.716E-01, 2.595E-01
 7.199E+02, 6.601E-02, 3.253E-01, 1.354E+00, 3.431E+00, 9.063E+00, 1.829E+01, 2.927E+01, 2.731E-01, 2.580E-01
 7.799E+02, 1.072E-01, 4.692E-01, 1.773E+00, 4.217E+00, 1.040E+01, 1.990E+01, 3.079E+01, 2.746E-01, 2.565E-01
 8.399E+02, 1.636E-01, 6.458E-01, 2.245E+00, 5.050E+00, 1.173E+01, 2.146E+01, 3.222E+01, 2.762E-01, 2.549E-01
 8.999E+02, 2.374E-01, 8.549E-01, 2.761E+00, 5.919E+00, 1.306E+01, 2.294E+01, 3.356E+01, 2.779E-01, 2.532E-01
