s,%,%,%,%,%,%,%,m/s,m/s,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","U TOPD_V","U BOTTOMD_V","B TOPD_V","B BOTTOMD_V"
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.992E+01, 5.511E-20, 4.346E-16, 2.716E-12, 1.331E-09, 2.499E-06, 1.579E-03, 1.899E-01, 7.157E-02, 6.350E-02, 5.357E-02, 5.364E-02
 1.199E+02, 5.313E-13, 3.617E-10, 1.389E-07, 8.079E-06, 1.010E-03, 6.004E-02, 1.017E+00, 1.028E-01, 8.183E-02, 3.195E-02, 3.198E-02
 1.799E+02, 1.047E-09, 1.651E-07, 1.643E-05, 3.709E-04, 1.401E-02, 2.533E-01, 1.862E+00, 1.339E-01, 1.092E-01, 2.716E-03, 2.725E-03
 2.399E+02, 1.018E-07, 6.630E-06, 2.813E-04, 3.385E-03, 5.760E-02, 5.443E-01, 2.642E+00, 1.619E-01, 1.355E-01,-2.446E-02,-2.445E-02
 2.999E+02, 2.267E-06, 7.679E-05, 1.728E-03, 1.337E-02, 1.371E-01, 8.819E-01, 3.352E+00, 1.841E-01, 1.563E-01,-4.594E-02,-4.594E-02
 3.599E+02, 2.023E-05, 4.136E-04, 5.924E-03, 3.404E-02, 2.489E-01, 1.241E+00, 4.002E+00, 2.029E-01, 1.739E-01,-6.414E-02,-6.414E-02
 4.199E+02, 9.984E-05, 1.406E-03, 1.458E-02, 6.730E-02, 3.869E-01, 1.609E+00, 4.603E+00, 2.195E-01, 1.895E-01,-8.019E-02,-8.020E-02
 4.799E+02, 3.384E-04, 3.605E-03, 2.902E-02, 1.135E-01, 5.451E-01, 1.975E+00, 5.160E+00, 2.344E-01, 2.035E-01,-9.468E-02,-9.468E-02
 5.399E+02, 8.996E-04, 7.632E-03, 4.994E-02, 1.720E-01, 7.185E-01, 2.336E+00, 5.679E+00, 2.480E-01, 2.164E-01,-1.079E-01,-1.079E-01
 5.999E+02, 2.014E-03, 1.399E-02, 7.768E-02, 2.418E-01, 9.023E-01, 2.689E+00, 6.166E+00, 2.606E-01, 2.284E-01,-1.202E-01,-1.202E-01
 6.599E+02, 3.919E-03, 2.308E-02, 1.123E-01, 3.216E-01, 1.094E+00, 3.034E+00, 6.622E+00, 2.722E-01, 2.395E-01,-1.316E-01,-1.316E-01
 7.199E+02, 6.834E-03, 3.518E-02, 1.534E-01, 4.098E-01, 1.289E+00, 3.367E+00, 7.052E+00, 2.832E-01, 2.500E-01,-1.423E-01,-1.423E-01
 7.799E+02, 1.099E-02, 5.050E-02, 2.008E-01, 5.054E-01, 1.488E+00, 3.690E+00, 7.458E+00, 2.935E-01, 2.598E-01,-1.524E-01,-1.524E-01
