s,kW,kg/m2/s
Time,"rad","MLRPUA"
 0.0000000E+000,-4.6869306E-007, 0.0000000E+000
 2.0002119E+000, 2.6358555E-001, 9.5578278E-003
 4.0007513E+000, 3.2327860E-001, 1.1994021E-002
 6.0000467E+000, 3.1100211E-001, 1.2380021E-002
 8.0001185E+000, 3.1705242E-001, 1.2486971E-002
 1.0000822E+001, 3.2502062E-001, 1.3149594E-002
 1.2000927E+001, 3.2249665E-001, 1.3322637E-002
 1.4000173E+001, 3.1635506E-001, 1.3204394E-002
 1.6000377E+001, 3.1670900E-001, 1.3190704E-002
 1.8000086E+001, 3.2279083E-001, 1.3699991E-002
 2.0000420E+001, 3.1606422E-001, 1.3740446E-002
 2.2000164E+001, 3.1733235E-001, 1.3469723E-002
 2.4000172E+001, 3.0889873E-001, 1.3608871E-002
 2.6001013E+001, 3.2477172E-001, 1.3765958E-002
 2.8000081E+001, 3.2160728E-001, 1.3751453E-002
 3.0000019E+001, 3.1553216E-001, 1.3955899E-002
 3.2000643E+001, 3.1654993E-001, 1.3762273E-002
 3.4000600E+001, 3.1605398E-001, 1.3826151E-002
 3.6000348E+001, 3.1750703E-001, 1.3604114E-002
 3.8000165E+001, 3.1383469E-001, 1.4248171E-002
 4.0000002E+001, 3.1974384E-001, 1.3942830E-002
 4.2000289E+001, 3.2222858E-001, 1.3981799E-002
 4.4000426E+001, 3.1265419E-001, 1.3606411E-002
 4.6000884E+001, 3.1593287E-001, 1.4057932E-002
 4.8000051E+001, 3.2426136E-001, 1.3926836E-002
 5.0001010E+001, 3.2443660E-001, 1.4318153E-002
 5.2000716E+001, 3.1695878E-001, 1.4233230E-002
 5.4000307E+001, 3.1812054E-001, 1.3962291E-002
 5.6000927E+001, 3.1211176E-001, 1.4029365E-002
 5.8000641E+001, 3.2098959E-001, 1.4049856E-002
 6.0000000E+001, 3.1721272E-001, 1.4136433E-002
