s,kW,kg/m2/s
Time,"rad","MLRPUA"
 0.0000000E+000,-8.3753571E-013, 0.0000000E+000
 2.0011523E+000, 1.6474123E-001, 9.1441605E-003
 4.0004462E+000, 1.6963643E-001, 9.2864149E-003
 6.0022215E+000, 1.6190014E-001, 8.9247859E-003
 8.0025450E+000, 1.5713391E-001, 8.6323609E-003
 1.0002672E+001, 1.6014342E-001, 8.5214008E-003
 1.2002488E+001, 1.5718219E-001, 8.3911535E-003
 1.4000844E+001, 1.5891749E-001, 8.2240127E-003
 1.6000088E+001, 1.4168924E-001, 8.0743309E-003
 1.8000829E+001, 1.4211659E-001, 7.9862020E-003
 2.0002037E+001, 1.4337883E-001, 7.7850732E-003
 2.2000326E+001, 1.3703857E-001, 7.8027416E-003
 2.4001065E+001, 1.3586273E-001, 7.6976575E-003
 2.6001975E+001, 1.4210632E-001, 7.6342975E-003
 2.8001226E+001, 1.3379830E-001, 7.5924598E-003
 3.0000223E+001, 1.2465265E-001, 7.3799489E-003
 3.2001172E+001, 1.2053261E-001, 7.2210442E-003
 3.4001782E+001, 1.1910930E-001, 7.1226738E-003
 3.6002198E+001, 1.2741224E-001, 7.1980587E-003
 3.8000569E+001, 1.1607749E-001, 7.0158314E-003
 4.0001412E+001, 1.1718067E-001, 6.9597991E-003
 4.2001059E+001, 1.1566444E-001, 6.8212754E-003
 4.4001080E+001, 1.1736528E-001, 6.7845905E-003
 4.6000821E+001, 1.2024635E-001, 6.7829863E-003
 4.8000067E+001, 1.1998060E-001, 6.8190245E-003
 5.0000634E+001, 1.1406814E-001, 6.8541701E-003
 5.2001523E+001, 1.2050211E-001, 6.7918447E-003
 5.4001923E+001, 1.2837243E-001, 6.8074909E-003
 5.6001511E+001, 1.2647851E-001, 6.6968092E-003
 5.8000446E+001, 1.1807792E-001, 6.6798781E-003
 6.0000000E+001, 1.0958841E-001, 6.4846731E-003
