s,mol/mol
Time,"XO2"
 0.0000000E+000, 2.0755890E-001
 1.0030106E+000, 2.0755890E-001
 2.0008756E+000, 2.0755890E-001
 3.0008460E+000, 2.0755890E-001
 4.0013257E+000, 2.0755890E-001
 5.0002944E+000, 2.0755779E-001
 6.0003600E+000, 2.0213615E-001
 7.0008564E+000, 1.9683384E-001
 8.0006253E+000, 1.9180920E-001
 9.0008058E+000, 1.8703002E-001
 1.0001170E+001, 1.8248457E-001
 1.1000001E+001, 1.7816130E-001
 1.2000579E+001, 1.7403060E-001
 1.3000714E+001, 1.7008997E-001
 1.4000688E+001, 1.6632449E-001
 1.5001215E+001, 1.6272050E-001
 1.6000154E+001, 1.5927513E-001
 1.7000988E+001, 1.5596418E-001
 1.8000736E+001, 1.5279435E-001
 1.9000480E+001, 1.4975190E-001
 2.0000276E+001, 1.4682494E-001
 2.1000425E+001, 1.4400956E-001
 2.2001069E+001, 1.4129902E-001
 2.3000224E+001, 1.3869307E-001
 2.4001287E+001, 1.3617586E-001
 2.5000853E+001, 1.3375272E-001
 2.6000395E+001, 1.3141407E-001
 2.7000896E+001, 1.2915477E-001
 2.8000448E+001, 1.2697230E-001
 2.9000708E+001, 1.2486168E-001
 3.0001017E+001, 1.2282138E-001
 3.1000804E+001, 1.2084622E-001
 3.2000768E+001, 1.1893478E-001
 3.3001190E+001, 1.1708068E-001
 3.4000288E+001, 1.1528608E-001
 3.5001290E+001, 1.1354175E-001
 3.6001271E+001, 1.1185184E-001
 3.7001426E+001, 1.1021083E-001
