s,C,mu-m,mu-m,s,m2/s
Time,"T","Diameter","Diameter_t","Timer2","dD2/dt"
 0.0000000E+000, 7.6000000E+000, 9.5400000E+002, 9.5400000E+002, 0.0000000E+000, 0.0000000E+000
 2.0000000E-001, 7.6100234E+000, 9.5379120E+002, 9.5379120E+002, 1.0500000E-001, 0.0000000E+000
 4.0000000E-001, 7.6279616E+000, 9.5339309E+002, 9.5339309E+002, 3.0500000E-001, 0.0000000E+000
 6.0000000E-001, 7.6443233E+000, 9.5299444E+002, 9.5299444E+002, 5.0500000E-001, 0.0000000E+000
 8.0000000E-001, 7.6592457E+000, 9.5259529E+002, 9.5259529E+002, 7.0500000E-001, 0.0000000E+000
 1.0000000E+000, 7.6728538E+000, 9.5219567E+002, 9.5219567E+002, 9.0500000E-001, 0.0000000E+000
 1.2000000E+000, 7.6852623E+000, 9.5179561E+002, 9.5179561E+002, 1.1050000E+000, 0.0000000E+000
 1.4000000E+000, 7.6965759E+000, 9.5139514E+002, 9.5139514E+002, 1.3050000E+000, 0.0000000E+000
 1.6000000E+000, 7.7068902E+000, 9.5099429E+002, 9.5099429E+002, 1.5050000E+000, 0.0000000E+000
 1.8000000E+000, 7.7162927E+000, 9.5059307E+002, 9.5059307E+002, 1.7050000E+000, 0.0000000E+000
 2.0000000E+000, 7.7248632E+000, 9.5019152E+002, 9.5019152E+002, 1.9050000E+000, 0.0000000E+000
 2.2100000E+000, 7.7328580E+000, 9.4977959E+002, 9.4977959E+002, 2.1100000E+000, 0.0000000E+000
 2.4100000E+000, 7.7401329E+000, 9.4936735E+002, 9.4936735E+002, 2.3150000E+000, 0.0000000E+000
 2.6100000E+000, 7.7465906E+000, 9.4896487E+002, 9.4896487E+002, 2.5150000E+000, 0.0000000E+000
 2.8100000E+000, 7.7524750E+000, 9.4856212E+002, 9.4856212E+002, 2.7150000E+000, 0.0000000E+000
 3.0100000E+000, 7.7578366E+000, 9.4815912E+002, 9.4815912E+002, 2.9150000E+000, 0.0000000E+000
 3.2100000E+000, 7.7627215E+000, 9.4775587E+002, 9.4775587E+002, 3.1150000E+000, 0.0000000E+000
 3.4100000E+000, 7.7671719E+000, 9.4735239E+002, 9.4735239E+002, 3.3150000E+000, 0.0000000E+000
 3.6100000E+000, 7.7712260E+000, 9.4694868E+002, 9.4694868E+002, 3.5150000E+000, 0.0000000E+000
 3.8100000E+000, 7.7749190E+000, 9.4654477E+002, 9.4654477E+002, 3.7150000E+000, 0.0000000E+000
 4.0100000E+000, 7.7782827E+000, 9.4614064E+002, 9.4614064E+002, 3.9150000E+000, 0.0000000E+000
 4.2100000E+000, 7.7813464E+000, 9.4573632E+002, 9.4573632E+002, 4.1150000E+000, 0.0000000E+000
 4.4100000E+000, 7.7841366E+000, 9.4533181E+002, 9.4533181E+002, 4.3150000E+000, 0.0000000E+000
 4.6100000E+000, 7.7866776E+000, 9.4492711E+002, 9.4492711E+002, 4.5150000E+000, 0.0000000E+000
 4.8100000E+000, 7.7889916E+000, 9.4452224E+002, 9.4452224E+002, 4.7150000E+000, 0.0000000E+000
 5.0100000E+000, 7.7910987E+000, 9.4411719E+002, 9.4411719E+002, 4.9150000E+000, 0.0000000E+000
 5.2100000E+000, 7.7930173E+000, 9.4371198E+002, 9.4371198E+002, 5.1150000E+000, 0.0000000E+000
 5.4100000E+000, 7.7947642E+000, 9.4330660E+002, 9.4330660E+002, 5.3150000E+000, 0.0000000E+000
 5.6100000E+000, 7.7963547E+000, 9.4290106E+002, 9.4290106E+002, 5.5150000E+000, 0.0000000E+000
 5.8100000E+000, 7.7978027E+000, 9.4249537E+002, 9.4249537E+002, 5.7150000E+000, 0.0000000E+000
