s,kg/s,kW
Time,"mdot","hdot"
 0.0000000E+000,-2.0105156E-010,-6.4794224E-017
 1.0127034E+000,-9.6497575E-005, 2.7518418E-004
 2.0254068E+000, 2.0428140E-003, 1.1375435E-002
 3.0114601E+000, 1.0785475E-002, 8.6327688E-002
 4.0241635E+000, 2.3430663E-002, 2.1441958E-001
 5.0102168E+000, 3.5449266E-002, 3.8423303E-001
 6.0229202E+000, 4.6268268E-002, 5.7861623E-001
 7.0089736E+000, 5.3004489E-002, 6.4643561E-001
 8.0216770E+000, 5.8838571E-002, 6.2986369E-001
 9.0077303E+000, 6.5292375E-002, 6.1315163E-001
 1.0020434E+001, 7.3607192E-002, 6.0477282E-001
 1.1006487E+001, 8.4873905E-002, 6.1487804E-001
 1.2019190E+001, 9.5980371E-002, 6.2365262E-001
 1.3005244E+001, 1.0455629E-001, 6.4565558E-001
 1.4017947E+001, 1.1072402E-001, 6.5287003E-001
 1.5004000E+001, 1.1290155E-001, 6.5159504E-001
 1.6016704E+001, 1.1339834E-001, 6.3707062E-001
 1.7002757E+001, 1.1317532E-001, 6.6592793E-001
 1.8015461E+001, 1.1204836E-001, 6.8332921E-001
 1.9001514E+001, 1.1121480E-001, 6.6172625E-001
 2.0014217E+001, 1.0907053E-001, 6.6650955E-001
 2.1000271E+001, 1.0853617E-001, 6.6375455E-001
 2.2012974E+001, 1.0876129E-001, 6.7679039E-001
 2.3025677E+001, 1.0760620E-001, 6.6616407E-001
 2.4011731E+001, 1.0709827E-001, 6.6760107E-001
 2.5024434E+001, 1.0779815E-001, 6.5802597E-001
 2.6020699E+001, 1.0765080E-001, 6.7360986E-001
 2.7017567E+001, 1.0538196E-001, 6.7277934E-001
 2.8014435E+001, 1.0330288E-001, 6.6728309E-001
 2.9011302E+001, 1.0614214E-001, 6.8343294E-001
 3.0008170E+001, 1.0847007E-001, 6.8653807E-001
 3.1005037E+001, 1.1204465E-001, 6.8361027E-001
 3.2001905E+001, 1.1510730E-001, 6.9706820E-001
 3.3025006E+001, 1.1615317E-001, 6.8441295E-001
 3.4021874E+001, 1.1731868E-001, 7.1829715E-001
 3.5018741E+001, 1.1893764E-001, 6.6872123E-001
 3.6017081E+001, 1.2217345E-001, 7.1012432E-001
 3.7021322E+001, 1.1897957E-001, 6.8453766E-001
 3.8025563E+001, 1.1496780E-001, 6.7471341E-001
 3.9024578E+001, 1.1267007E-001, 6.8366820E-001
