s,kW,kW,Pa,kg/m3
Time,Q1-0,Q2-0,p0,rho
 0.0000000E+000,-9.2265411E-002, 0.0000000E+000, 1.0132500E+005, 1.1794096E+000
 1.0044643E+000,-7.9016921E-002, 1.4302615E-003, 1.0135723E+005, 1.1786539E+000
 2.0089286E+000,-6.4003418E-002, 1.1377572E-002, 1.0140936E+005, 1.1762617E+000
 3.0133929E+000,-5.3672776E-002, 2.2803231E-002, 1.0144225E+005, 1.1785527E+000
 4.0178571E+000,-4.7029759E-002, 2.8676213E-002, 1.0146121E+005, 1.1806144E+000
 5.0223214E+000,-4.4624036E-002, 3.0737062E-002, 1.0147376E+005, 1.1822318E+000
 6.0044643E+000,-4.3647843E-002, 3.1499255E-002, 1.0148404E+005, 1.1836051E+000
 7.0089286E+000,-4.3961429E-002, 3.2344971E-002, 1.0149337E+005, 1.1836087E+000
 8.0133929E+000,-4.3626410E-002, 3.1618966E-002, 1.0150264E+005, 1.1838326E+000
 9.0178571E+000,-4.2656024E-002, 3.0196392E-002, 1.0151234E+005, 1.1853815E+000
 1.0000000E+001,-4.1186196E-002, 2.9037616E-002, 1.0152195E+005, 1.1841049E+000
 1.1004464E+001,-4.0362118E-002, 2.8998126E-002, 1.0153107E+005, 1.1834921E+000
 1.2008929E+001,-3.9788595E-002, 2.9075688E-002, 1.0153967E+005, 1.1864320E+000
 1.3013393E+001,-3.9855860E-002, 2.9343274E-002, 1.0154800E+005, 1.1876691E+000
 1.4017857E+001,-3.9727618E-002, 2.9779910E-002, 1.0155612E+005, 1.1855730E+000
 1.5000000E+001,-3.9697338E-002, 3.0088396E-002, 1.0156371E+005, 1.1847601E+000
 1.6004464E+001,-4.0269188E-002, 3.0385881E-002, 1.0157135E+005, 1.1826614E+000
 1.7008929E+001,-4.0455879E-002, 3.0727392E-002, 1.0157914E+005, 1.1802671E+000
 1.8013393E+001,-4.0271669E-002, 3.0932955E-002, 1.0158667E+005, 1.1864171E+000
 1.9017857E+001,-3.9973179E-002, 3.0985419E-002, 1.0159391E+005, 1.1747839E+000
 2.0022321E+001,-3.9664367E-002, 3.1145139E-002, 1.0160083E+005, 1.1844770E+000
 2.1004464E+001,-3.9403851E-002, 3.1589455E-002, 1.0160721E+005, 1.1740388E+000
 2.2008929E+001,-3.9325299E-002, 3.1807249E-002, 1.0161316E+005, 1.1801515E+000
 2.3013393E+001,-3.9179675E-002, 3.1904705E-002, 1.0161899E+005, 1.1812109E+000
 2.4017857E+001,-3.9143342E-002, 3.2232411E-002, 1.0162454E+005, 1.1773974E+000
 2.5022321E+001,-3.8999361E-002, 3.2454558E-002, 1.0162980E+005, 1.1768999E+000
 2.6004464E+001,-3.8838696E-002, 3.2741340E-002, 1.0163471E+005, 1.1798196E+000
 2.7008929E+001,-3.8681666E-002, 3.2978463E-002, 1.0163927E+005, 1.1908223E+000
 2.8013393E+001,-3.8456365E-002, 3.2711140E-002, 1.0164371E+005, 1.1922577E+000
 2.9017857E+001,-3.8256651E-002, 3.2512227E-002, 1.0164819E+005, 1.1871009E+000
 3.0022321E+001,-3.8044442E-002, 3.2410175E-002, 1.0165261E+005, 1.1850353E+000
 3.1004464E+001,-3.7650964E-002, 3.2300672E-002, 1.0165683E+005, 1.1814767E+000
 3.2008929E+001,-3.7452775E-002, 3.2597976E-002, 1.0166072E+005, 1.1870081E+000
 3.3013393E+001,-3.7374023E-002, 3.2769189E-002, 1.0166432E+005, 1.1848679E+000
 3.4017857E+001,-3.7402731E-002, 3.2655878E-002, 1.0166789E+005, 1.1843699E+000
 3.5022321E+001,-3.7413755E-002, 3.2481720E-002, 1.0167159E+005, 1.1768125E+000
 3.6004464E+001,-3.7298156E-002, 3.2513010E-002, 1.0167529E+005, 1.1827497E+000
 3.7008929E+001,-3.7332620E-002, 3.2572540E-002, 1.0167886E+005, 1.1859713E+000
 3.8013393E+001,-3.7585261E-002, 3.2654437E-002, 1.0168252E+005, 1.1906641E+000
 3.9017857E+001,-3.7795829E-002, 3.2606638E-002, 1.0168629E+005, 1.1890022E+000
 4.0022321E+001,-3.7629182E-002, 3.2406254E-002, 1.0169016E+005, 1.1863702E+000
 4.1004464E+001,-3.7673128E-002, 3.2463272E-002, 1.0169396E+005, 1.1871012E+000
 4.2008929E+001,-3.7886402E-002, 3.2285113E-002, 1.0169795E+005, 1.1863042E+000
 4.3013393E+001,-3.7618384E-002, 3.2346391E-002, 1.0170200E+005, 1.1779372E+000
 4.4017857E+001,-3.7556871E-002, 3.2598587E-002, 1.0170579E+005, 1.1879706E+000
 4.5000000E+001,-3.7644234E-002, 3.2939056E-002, 1.0170933E+005, 1.1741210E+000
 4.6004464E+001,-3.7517797E-002, 3.3022695E-002, 1.0171265E+005, 1.1862740E+000
 4.7008929E+001,-3.7441002E-002, 3.3100338E-002, 1.0171585E+005, 1.1812889E+000
 4.8013393E+001,-3.7461427E-002, 3.3177226E-002, 1.0171894E+005, 1.1813289E+000
 4.9017857E+001,-3.7472617E-002, 3.3153241E-002, 1.0172203E+005, 1.1818215E+000
 5.0000000E+001,-3.7173106E-002, 3.2869470E-002, 1.0172508E+005, 1.1840740E+000
 5.1004464E+001,-3.6891310E-002, 3.2491069E-002, 1.0172814E+005, 1.1818213E+000
 5.2008929E+001,-3.6775062E-002, 3.2399198E-002, 1.0173126E+005, 1.1875199E+000
 5.3013393E+001,-3.6761638E-002, 3.2686402E-002, 1.0173427E+005, 1.1792740E+000
 5.4017857E+001,-3.6838267E-002, 3.2936250E-002, 1.0173709E+005, 1.1870486E+000
 5.5000000E+001,-3.6835246E-002, 3.2998680E-002, 1.0173982E+005, 1.1868182E+000
 5.6004464E+001,-3.6823113E-002, 3.2944364E-002, 1.0174252E+005, 1.1835976E+000
 5.7008929E+001,-3.6861334E-002, 3.3011872E-002, 1.0174529E+005, 1.1875373E+000
 5.8013393E+001,-3.6641009E-002, 3.3139405E-002, 1.0174785E+005, 1.2124967E+000
 5.9017857E+001,-3.6480627E-002, 3.3309025E-002, 1.0175020E+005, 1.1817728E+000
 6.0000000E+001,-3.6172832E-002, 3.3196763E-002, 1.0175221E+005, 1.1943594E+000
 6.1004464E+001,-3.6077156E-002, 3.3030742E-002, 1.0175424E+005, 1.1736071E+000
 6.2008929E+001,-3.6357651E-002, 3.2995094E-002, 1.0175635E+005, 1.1778644E+000
 6.3013393E+001,-3.6388645E-002, 3.3113475E-002, 1.0175863E+005, 1.1831161E+000
 6.4017857E+001,-3.6353107E-002, 3.3198117E-002, 1.0176078E+005, 1.1833620E+000
 6.5000000E+001,-3.6272830E-002, 3.3266787E-002, 1.0176287E+005, 1.1917505E+000
 6.6004464E+001,-3.6121010E-002, 3.3424958E-002, 1.0176479E+005, 1.1819493E+000
 6.7008929E+001,-3.6090794E-002, 3.3697430E-002, 1.0176643E+005, 1.1809038E+000
 6.8013393E+001,-3.6188123E-002, 3.3565321E-002, 1.0176803E+005, 1.1837436E+000
 6.9017857E+001,-3.6462540E-002, 3.3598609E-002, 1.0176981E+005, 1.1864192E+000
 7.0000000E+001,-3.6660311E-002, 3.3737584E-002, 1.0177165E+005, 1.1940035E+000
 7.1004464E+001,-3.6835864E-002, 3.3905309E-002, 1.0177356E+005, 1.1968279E+000
 7.2008929E+001,-3.6433199E-002, 3.4068473E-002, 1.0177531E+005, 1.1664742E+000
 7.3013393E+001,-3.6069615E-002, 3.4129047E-002, 1.0177665E+005, 1.1855385E+000
