s,Pa,kg/m3,kW,kW
Time,p0,rho,Q1-0,Q2-0
 0.0000000E+000, 1.0132500E+005, 1.1954478E+000,-7.0174214E-001, 0.0000000E+000
 1.0023291E+001, 1.0132761E+005, 1.2013120E+000,-6.3097577E-001,-8.7860455E-003
 2.0002691E+001, 1.0133213E+005, 1.2066997E+000,-4.3400477E-001,-8.9756755E-002
 3.0025982E+001, 1.0133531E+005, 1.1968623E+000,-3.5376775E-001, 6.2651980E-002
 4.0013979E+001, 1.0133687E+005, 1.1950392E+000,-3.3841764E-001, 1.3703575E-001
 5.0001977E+001, 1.0133821E+005, 1.1929537E+000,-3.3965285E-001, 1.5664386E-001
 6.0025268E+001, 1.0133956E+005, 1.1955582E+000,-3.5173923E-001, 1.5657745E-001
 7.0013265E+001, 1.0134080E+005, 1.1908552E+000,-3.2863141E-001, 1.6263509E-001
 8.0001263E+001, 1.0134192E+005, 1.1952226E+000,-3.2323645E-001, 1.7515081E-001
 9.0024554E+001, 1.0134284E+005, 1.1954756E+000,-3.2189872E-001, 1.9277429E-001
 1.0001255E+002, 1.0134377E+005, 1.1919126E+000,-3.2142033E-001, 1.9289712E-001
 1.1000055E+002, 1.0134470E+005, 1.1960959E+000,-3.2239468E-001, 1.9019781E-001
 1.2002384E+002, 1.0134565E+005, 1.1928012E+000,-3.1305031E-001, 1.8444768E-001
 1.3001184E+002, 1.0134663E+005, 1.1964818E+000,-3.0891726E-001, 1.7942708E-001
 1.4003513E+002, 1.0134760E+005, 1.1958452E+000,-3.0547703E-001, 1.7974105E-001
 1.5002313E+002, 1.0134858E+005, 1.1966574E+000,-3.0871264E-001, 1.7971219E-001
 1.6001112E+002, 1.0134959E+005, 1.1965535E+000,-3.0683890E-001, 1.7691670E-001
 1.7003441E+002, 1.0135062E+005, 1.1962501E+000,-3.0531856E-001, 1.7236193E-001
 1.8002241E+002, 1.0135167E+005, 1.1964979E+000,-3.0553824E-001, 1.7093336E-001
 1.9001041E+002, 1.0135272E+005, 1.1962082E+000,-3.0439571E-001, 1.7232537E-001
 2.0003370E+002, 1.0135374E+005, 1.1958604E+000,-3.0364741E-001, 1.7411653E-001
 2.1002170E+002, 1.0135476E+005, 1.1961720E+000,-3.0251715E-001, 1.7639684E-001
 2.2000969E+002, 1.0135574E+005, 1.1958987E+000,-3.0097694E-001, 1.7793514E-001
