s,kW/m2,kW/m2,Pa,kg/m3
Time,Q1-0,Q2-0,p0,rho
 0.0000000E+000,-5.8291200E-003, 5.8291200E-003, 1.0132500E+005, 1.1954478E+000
 1.0041237E+000,-4.2469336E-003, 4.2509356E-003, 1.0132500E+005, 1.1954478E+000
 2.0082473E+000,-2.5285700E-003, 2.5379627E-003, 1.0132499E+005, 1.1954477E+000
 3.0123710E+000,-1.8376800E-003, 1.8474481E-003, 1.0132498E+005, 1.1954476E+000
 4.0164946E+000,-1.4942865E-003, 1.5034878E-003, 1.0132498E+005, 1.1954476E+000
 5.0206183E+000,-1.2903411E-003, 1.2991626E-003, 1.0132497E+005, 1.1954475E+000
 6.0024281E+000,-1.1534372E-003, 1.1628213E-003, 1.0132496E+005, 1.1954475E+000
 7.0065518E+000,-1.0518727E-003, 1.0626821E-003, 1.0132496E+005, 1.1954474E+000
 8.0106754E+000,-9.7070211E-004, 9.8394216E-004, 1.0132496E+005, 1.1954474E+000
 9.0147991E+000,-9.0337913E-004, 9.2030958E-004, 1.0132495E+005, 1.1954474E+000
 1.0018923E+001,-8.4491164E-004, 8.6726998E-004, 1.0132495E+005, 1.1954474E+000
 1.1000733E+001,-7.9225023E-004, 8.2237549E-004, 1.0132495E+005, 1.1954473E+000
 1.2004856E+001,-7.4179687E-004, 7.8305171E-004, 1.0132495E+005, 1.1954473E+000
 1.3008980E+001,-6.9023820E-004, 7.4739574E-004, 1.0132495E+005, 1.1954474E+000
 1.4013104E+001,-6.3546403E-004, 7.1460083E-004, 1.0132495E+005, 1.1954474E+000
 1.5017227E+001,-5.7525274E-004, 6.8347844E-004, 1.0132496E+005, 1.1954475E+000
 1.6021351E+001,-5.0892759E-004, 6.5281594E-004, 1.0132498E+005, 1.1954476E+000
 1.7003161E+001,-4.3995232E-004, 6.2165201E-004, 1.0132501E+005, 1.1954479E+000
 1.8007284E+001,-3.7474323E-004, 5.8823130E-004, 1.0132507E+005, 1.1954485E+000
 1.9011408E+001,-3.2285847E-004, 5.5075349E-004, 1.0132519E+005, 1.1954495E+000
 2.0015532E+001,-2.9559897E-004, 5.0870112E-004, 1.0132544E+005, 1.1954515E+000
 2.1019655E+001,-3.0599377E-004, 4.6286112E-004, 1.0132589E+005, 1.1954407E+000
 2.2001465E+001,-3.7057103E-004, 4.1787180E-004, 1.0132663E+005, 1.1943585E+000
 2.3005589E+001,-4.8677808E-004, 3.8250435E-004, 1.0132770E+005, 1.1934145E+000
 2.4009712E+001,-6.0155896E-004, 3.7368783E-004, 1.0132903E+005, 1.1934827E+000
 2.5013836E+001,-6.5805907E-004, 4.1847506E-004, 1.0133042E+005, 1.1933779E+000
 2.6017960E+001,-6.5678334E-004, 9.0256678E-004, 1.0133167E+005, 1.1932955E+000
 2.7022083E+001,-6.2755622E-004, 5.4594024E-003, 1.0133257E+005, 1.1934270E+000
 2.8003893E+001,-5.9803564E-004, 6.4041554E-003, 1.0133270E+005, 1.1936027E+000
 2.9008017E+001,-5.8553938E-004, 6.6016514E-003, 1.0133222E+005, 1.1937259E+000
 3.0012140E+001,-6.0106021E-004, 6.5474314E-003, 1.0133153E+005, 1.1938322E+000
 3.1016264E+001,-6.5846297E-004, 6.2851567E-003, 1.0133077E+005, 1.1939400E+000
 3.2020388E+001,-7.6952588E-004, 5.9067907E-003, 1.0133006E+005, 1.1940259E+000
 3.3002198E+001,-1.0255687E-003, 5.4035067E-003, 1.0132954E+005, 1.1941073E+000
 3.4006321E+001,-2.4329895E-003, 4.8203216E-003, 1.0132928E+005, 1.1942853E+000
 3.5010445E+001,-3.6222101E-003, 4.1755710E-003, 1.0132929E+005, 1.1946596E+000
 3.6014569E+001,-3.0961418E-003, 3.4513738E-003, 1.0132948E+005, 1.1952726E+000
 3.7018692E+001,-2.8056233E-003, 2.5609423E-003, 1.0132973E+005, 1.1955322E+000
 3.8000502E+001,-3.2200725E-003, 1.7095448E-003, 1.0132997E+005, 1.1955896E+000
 3.9004626E+001,-3.3966054E-003, 3.1929409E-003, 1.0133013E+005, 1.1956644E+000
 4.0008749E+001,-3.3447973E-003, 5.7199911E-003, 1.0133012E+005, 1.1955741E+000
 4.1012873E+001,-2.3249559E-003, 4.5110677E-003, 1.0132997E+005, 1.1954686E+000
 4.2016997E+001,-2.8483071E-003, 3.7546727E-003, 1.0132984E+005, 1.1954454E+000
 4.3021120E+001,-3.0483541E-003, 3.6026169E-003, 1.0132977E+005, 1.1952919E+000
 4.4002930E+001,-2.7865283E-003, 3.6115748E-003, 1.0132976E+005, 1.1952397E+000
