s,kW/m2,kW/m2,Pa,kg/m3
Time,Q1-0,Q2-0,p0,rho
 0.0000000E+000,-1.0676539E-002, 1.0756416E-002, 1.0132500E+005, 1.1794096E+000
 1.0710652E+000,-1.0194066E-002, 1.0279477E-002, 1.0132492E+005, 1.1794089E+000
 2.0528750E+000,-9.2863364E-003, 9.4001690E-003, 1.0132475E+005, 1.1794079E+000
 3.0346848E+000,-8.5448745E-003, 8.7044345E-003, 1.0132457E+005, 1.1794082E+000
 4.0164946E+000,-7.9051415E-003, 8.1259674E-003, 1.0132440E+005, 1.1794111E+000
 5.0875599E+000,-7.3453468E-003, 7.6453479E-003, 1.0132421E+005, 1.1794235E+000
 6.0693697E+000,-6.9031146E-003, 7.3038201E-003, 1.0132401E+005, 1.1794776E+000
 7.0511795E+000,-6.5895212E-003, 7.1289385E-003, 1.0132382E+005, 1.1796541E+000
 8.0329893E+000,-6.3423535E-003, 7.0863137E-003, 1.0132363E+005, 1.1801136E+000
 9.0147991E+000,-6.1496344E-003, 7.1178045E-003, 1.0132344E+005, 1.1809436E+000
 1.0085864E+001,-6.1271297E-003, 7.2315034E-003, 1.0132325E+005, 1.1817824E+000
 1.1067674E+001,-6.4512974E-003, 7.3909490E-003, 1.0132305E+005, 1.1819756E+000
 1.2049484E+001,-7.3006786E-003, 7.8182522E-003, 1.0132284E+005, 1.1814474E+000
 1.3031294E+001,-8.4288747E-003, 8.7724276E-003, 1.0132254E+005, 1.1803333E+000
 1.4013104E+001,-8.9687664E-003, 9.3953111E-003, 1.0132217E+005, 1.1795611E+000
 1.5084169E+001,-9.1627217E-003, 9.5615485E-003, 1.0132183E+005, 1.1797448E+000
 1.6065979E+001,-9.9523216E-003, 9.5814263E-003, 1.0132155E+005, 1.1807711E+000
 1.7047788E+001,-1.0564650E-002, 9.6401405E-003, 1.0132139E+005, 1.1801548E+000
 1.8029598E+001,-1.0589035E-002, 9.6429633E-003, 1.0132133E+005, 1.1793454E+000
 1.9011408E+001,-1.0543310E-002, 9.4902682E-003, 1.0132129E+005, 1.1792334E+000
 2.0082473E+001,-1.0305967E-002, 9.1934177E-003, 1.0132121E+005, 1.1795357E+000
 2.1064283E+001,-9.8453964E-003, 8.8194660E-003, 1.0132110E+005, 1.1799152E+000
 2.2046093E+001,-9.3126597E-003, 8.5478018E-003, 1.0132099E+005, 1.1801192E+000
 2.3027903E+001,-9.1161113E-003, 8.2911499E-003, 1.0132091E+005, 1.1800088E+000
 2.4009712E+001,-9.3572935E-003, 8.5807198E-003, 1.0132088E+005, 1.1798271E+000
 2.5080778E+001,-9.9385634E-003, 9.7557119E-003, 1.0132091E+005, 1.1800758E+000
 2.6062587E+001,-1.0184278E-002, 9.8857629E-003, 1.0132098E+005, 1.1802426E+000
 2.7044397E+001,-1.0398473E-002, 9.7676536E-003, 1.0132109E+005, 1.1801857E+000
 2.8026207E+001,-1.0517399E-002, 9.8815614E-003, 1.0132117E+005, 1.1799485E+000
 2.9008017E+001,-1.0220973E-002, 1.0526764E-002, 1.0132118E+005, 1.1795096E+000
 3.0079082E+001,-9.8316037E-003, 1.1068239E-002, 1.0132111E+005, 1.1785999E+000
 3.1060892E+001,-9.4083093E-003, 1.1032482E-002, 1.0132100E+005, 1.1780383E+000
 3.2042702E+001,-8.9503174E-003, 1.0994384E-002, 1.0132088E+005, 1.1781157E+000
 3.3024511E+001,-8.6106413E-003, 1.0633820E-002, 1.0132081E+005, 1.1782350E+000
 3.4006321E+001,-8.4599871E-003, 1.0300476E-002, 1.0132081E+005, 1.1779258E+000
 3.5077386E+001,-8.4940766E-003, 1.0663180E-002, 1.0132085E+005, 1.1776583E+000
 3.6059196E+001,-8.5449117E-003, 1.0915036E-002, 1.0132092E+005, 1.1773438E+000
 3.7041006E+001,-8.3237291E-003, 1.0855055E-002, 1.0132097E+005, 1.1772567E+000
 3.8022816E+001,-8.1634051E-003, 1.1079407E-002, 1.0132101E+005, 1.1778046E+000
 3.9004626E+001,-9.4216725E-003, 1.1314466E-002, 1.0132104E+005, 1.1780732E+000
 4.0075691E+001,-1.0483035E-002, 1.1325626E-002, 1.0132106E+005, 1.1782496E+000
 4.1057501E+001,-1.0604612E-002, 1.1154250E-002, 1.0132107E+005, 1.1790247E+000
 4.2039311E+001,-1.0800793E-002, 1.1085286E-002, 1.0132104E+005, 1.1795369E+000
 4.3021120E+001,-1.0799539E-002, 1.0974078E-002, 1.0132099E+005, 1.1793973E+000
 4.4002930E+001,-1.0550326E-002, 1.0784999E-002, 1.0132090E+005, 1.1791058E+000
 4.5073995E+001,-1.0203306E-002, 1.0477820E-002, 1.0132075E+005, 1.1791201E+000
 4.6055805E+001,-9.7856696E-003, 9.9094051E-003, 1.0132063E+005, 1.1794285E+000
 4.7037615E+001,-9.4849115E-003, 9.2175187E-003, 1.0132059E+005, 1.1797699E+000
 4.8019425E+001,-9.2586170E-003, 9.9148008E-003, 1.0132063E+005, 1.1799353E+000
 4.9001235E+001,-9.0652581E-003, 1.0840846E-002, 1.0132074E+005, 1.1789897E+000
 5.0072300E+001,-8.9555780E-003, 1.0936789E-002, 1.0132085E+005, 1.1783660E+000
 5.1054110E+001,-9.5119750E-003, 1.1424479E-002, 1.0132092E+005, 1.1783407E+000
 5.2035919E+001,-1.0022496E-002, 1.1352070E-002, 1.0132090E+005, 1.1782928E+000
 5.3017729E+001,-1.0190117E-002, 1.1247190E-002, 1.0132081E+005, 1.1783162E+000
 5.4088794E+001,-1.0009368E-002, 1.1383517E-002, 1.0132070E+005, 1.1784897E+000
 5.5070604E+001,-9.6026655E-003, 1.1461926E-002, 1.0132063E+005, 1.1789007E+000
 5.6037555E+001,-9.4719966E-003, 1.1184520E-002, 1.0132055E+005, 1.1791227E+000
 5.7069805E+001,-9.2081730E-003, 1.0751373E-002, 1.0132047E+005, 1.1793319E+000
 5.8051615E+001,-9.1171571E-003, 1.0522211E-002, 1.0132045E+005, 1.1793751E+000
 5.9033425E+001,-9.1554017E-003, 1.0704325E-002, 1.0132051E+005, 1.1789820E+000
 6.0058641E+001,-9.1007911E-003, 1.0514379E-002, 1.0132060E+005, 1.1793673E+000
 6.1020950E+001,-8.9985638E-003, 1.0185114E-002, 1.0132062E+005, 1.1796597E+000
 6.2002760E+001,-8.9246789E-003, 9.9531550E-003, 1.0132056E+005, 1.1800006E+000
 6.3050143E+001,-8.9006973E-003, 1.0069057E-002, 1.0132045E+005, 1.1801925E+000
 6.4031952E+001,-9.7029828E-003, 1.0326667E-002, 1.0132032E+005, 1.1800885E+000
