s,Pa,kg/m3,kW,kW
Time,p0,rho,Q1-0,Q2-0
 0.0000000E+000, 1.0132500E+005, 1.1954478E+000,-7.0174214E+001, 0.0000000E+000
 1.0044643E+001, 1.0132527E+005, 1.2022139E+000,-7.0346786E+001, 2.6566991E-001
 2.0089286E+001, 1.0132581E+005, 1.1985887E+000,-7.0365271E+001,-1.3615084E+000
 3.0009769E+001, 1.0132632E+005, 1.2029761E+000,-6.9798945E+001,-2.7750603E+000
 4.0050201E+001, 1.0132688E+005, 1.2326813E+000,-6.8174127E+001,-2.2613872E+001
 5.0048421E+001, 1.0132775E+005, 1.2001634E+000,-6.7567026E+001,-4.0089340E+001
 6.0054887E+001, 1.0132847E+005, 1.1892962E+000,-6.1819289E+001,-1.5475410E+001
 7.0090225E+001, 1.0132883E+005, 1.1980908E+000,-5.3042599E+001, 1.0381302E+001
 8.0023261E+001, 1.0132895E+005, 1.1910717E+000,-4.8463236E+001, 2.3495859E+001
 9.0067904E+001, 1.0132902E+005, 1.1992997E+000,-4.6129030E+001, 3.1256562E+001
 1.0000094E+002, 1.0132905E+005, 1.1865474E+000,-4.8678658E+001, 3.2441549E+001
 1.1004558E+002, 1.0132912E+005, 1.1948689E+000,-4.8379197E+001, 2.9036535E+001
 1.2009023E+002, 1.0132923E+005, 1.1925774E+000,-4.9318600E+001, 2.9445208E+001
 1.3002326E+002, 1.0132933E+005, 1.1929674E+000,-5.2493481E+001, 3.0425202E+001
 1.4006790E+002, 1.0132944E+005, 1.1900146E+000,-4.9930453E+001, 3.0679090E+001
 1.5000094E+002, 1.0132956E+005, 1.1975661E+000,-5.0556395E+001, 2.9559069E+001
 1.6004558E+002, 1.0132967E+005, 1.1911502E+000,-5.3414481E+001, 3.0075335E+001
 1.7009023E+002, 1.0132978E+005, 1.1934768E+000,-5.1272404E+001, 3.0537781E+001
 1.8002326E+002, 1.0132989E+005, 1.1856667E+000,-5.0151482E+001, 3.2730626E+001
 1.9006790E+002, 1.0132998E+005, 1.1935006E+000,-4.9329981E+001, 3.4033456E+001
 2.0000094E+002, 1.0133006E+005, 1.2080082E+000,-4.8914788E+001, 3.5165296E+001
 2.1004558E+002, 1.0133015E+005, 1.1918279E+000,-5.0233583E+001, 3.4141984E+001
 2.2009023E+002, 1.0133025E+005, 1.1990442E+000,-5.4930547E+001, 3.3549400E+001
