s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,MLR_PRODUCTS 2,MLR_MMA
 0.000E+00, 0.000E+00,-1.182E-03,-8.607E-11, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.182E-03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.001E+00, 1.093E+00,-3.584E-01, 1.113E-02,-2.447E-01, 2.615E-03, 0.000E+00, 0.000E+00, 4.998E-01, 5.038E-01, 0.000E+00, 2.442E-05, 0.000E+00, 0.000E+00, 1.344E-13
 4.002E+00, 3.265E+00,-1.113E+00, 4.267E-02,-9.448E-01, 2.604E-02, 0.000E+00, 0.000E+00, 1.262E+00, 1.276E+00, 0.000E+00, 7.317E-05, 0.000E+00, 0.000E+00, 1.564E-12
 6.001E+00, 5.425E+00,-1.843E+00, 1.826E-02,-1.535E+00, 6.278E-02, 0.000E+00, 0.000E+00, 2.072E+00, 2.128E+00, 0.000E+00, 1.219E-04, 0.000E+00, 0.000E+00, 1.687E-10
 8.001E+00, 7.593E+00,-2.590E+00,-8.499E-02,-1.872E+00, 1.007E-01, 0.000E+00, 0.000E+00, 3.099E+00, 3.147E+00, 0.000E+00, 1.706E-04, 0.000E+00, 0.000E+00, 8.282E-09
 1.000E+01, 9.758E+00,-3.345E+00,-1.577E+00,-2.340E+00, 1.355E-01, 0.000E+00, 0.000E+00, 2.576E+00, 2.630E+00, 0.000E+00, 2.194E-04, 0.000E+00, 0.000E+00, 1.864E-07
 1.200E+01, 1.204E+01,-4.147E+00,-3.861E+00,-2.722E+00, 1.688E-01, 0.000E+00, 0.000E+00, 1.401E+00, 1.479E+00, 0.000E+00, 2.681E-04, 0.000E+00, 0.000E+00, 1.494E-06
 1.400E+01, 1.438E+01,-4.960E+00,-4.023E+00,-3.052E+00, 1.981E-01, 0.000E+00, 0.000E+00, 2.442E+00, 2.548E+00, 0.000E+00, 3.168E-04, 0.000E+00, 0.000E+00, 7.805E-06
 1.600E+01, 1.708E+01,-5.885E+00,-6.520E+00,-3.401E+00, 2.241E-01, 0.000E+00, 0.000E+00, 1.355E+00, 1.500E+00, 0.000E+00, 3.656E-04, 0.000E+00, 0.000E+00, 2.877E-05
 1.800E+01, 2.001E+01,-6.902E+00,-7.179E+00,-3.473E+00, 2.441E-01, 0.000E+00, 0.000E+00, 2.540E+00, 2.701E+00, 0.000E+00, 4.143E-04, 0.000E+00, 0.000E+00, 5.112E-05
