s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PBT,MLR_PRODUCTS,MLR_PROPANE,MLR_PRODUCTS 2
 0.000E+00, 0.000E+00, 0.000E+00,-1.256E-03,-1.448E-09, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.256E-03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 5.507E+00, 0.000E+00,-1.599E+00,-8.068E-01,-4.412E-01, 1.583E-02, 0.000E+00, 0.000E+00, 2.673E+00, 2.675E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.219E-04, 0.000E+00
 2.000E+01, 1.661E+01, 0.000E+00,-4.821E+00,-8.566E+00,-1.521E+00, 1.277E-01, 0.000E+00, 0.000E+00, 1.857E+00, 1.827E+00, 0.000E+00, 1.060E-16, 0.000E+00, 3.656E-04, 0.000E+00
 3.000E+01, 2.886E+01, 0.000E+00,-8.361E+00,-1.654E+01,-2.558E+00, 3.339E-01, 0.000E+00, 0.000E+00, 1.772E+00, 1.728E+00, 0.000E+00, 4.084E-12, 0.000E+00, 6.389E-04, 0.000E+00
 4.000E+01, 4.274E+01, 0.000E+00,-1.238E+01,-2.618E+01,-3.472E+00, 5.890E-01, 0.000E+00, 0.000E+00, 1.333E+00, 1.292E+00, 0.000E+00, 3.000E-09, 0.000E+00, 9.418E-04, 0.000E+00
 5.000E+01, 5.186E+01, 0.000E+00,-1.503E+01,-3.317E+01,-4.045E+00, 7.568E-01, 0.000E+00, 0.000E+00, 4.485E-01, 3.620E-01, 0.000E+00, 2.098E-07, 0.000E+00, 1.143E-03, 0.000E+00
 6.000E+01, 5.653E+01, 0.000E+00,-1.641E+01,-3.667E+01,-4.224E+00, 8.459E-01, 0.000E+00, 0.000E+00, 1.589E-01, 7.316E-02, 0.000E+00, 3.668E-06, 0.000E+00, 1.241E-03, 0.000E+00
 7.000E+01, 6.051E+01, 0.000E+00,-1.757E+01,-3.881E+01,-4.480E+00, 9.075E-01, 0.000E+00, 0.000E+00, 6.625E-01, 5.630E-01, 0.000E+00, 2.889E-05, 0.000E+00, 1.314E-03, 0.000E+00
 8.000E+01, 6.514E+01, 0.000E+00,-1.908E+01,-4.191E+01,-4.555E+00, 9.238E-01, 0.000E+00, 0.000E+00, 6.299E-01, 5.261E-01, 0.000E+00, 1.295E-04, 0.000E+00, 1.360E-03, 0.000E+00
 9.000E+01, 6.984E+01, 0.000E+00,-2.060E+01,-4.529E+01,-4.678E+00, 9.142E-01, 0.000E+00, 0.000E+00, 2.887E-01, 1.940E-01, 0.000E+00, 2.858E-04, 0.000E+00, 1.383E-03, 0.000E+00
 1.000E+02, 7.533E+01, 0.000E+00,-2.254E+01,-4.856E+01,-4.688E+00, 8.801E-01, 0.000E+00, 0.000E+00, 5.156E-01, 4.258E-01, 0.000E+00, 5.039E-04, 0.000E+00, 1.383E-03, 0.000E+00
 1.100E+02, 8.199E+01, 0.000E+00,-2.486E+01,-5.220E+01,-5.019E+00, 8.418E-01, 0.000E+00, 0.000E+00, 8.920E-01, 7.538E-01, 0.000E+00, 7.730E-04, 0.000E+00, 1.383E-03, 0.000E+00
 1.200E+02, 8.998E+01, 0.000E+00,-2.763E+01,-5.853E+01,-5.161E+00, 8.105E-01, 0.000E+00, 0.000E+00,-3.667E-01,-5.282E-01, 0.000E+00, 1.099E-03, 0.000E+00, 1.383E-03, 0.000E+00
 1.300E+02, 9.868E+01, 0.000E+00,-3.067E+01,-6.249E+01,-5.458E+00, 7.739E-01, 0.000E+00, 0.000E+00, 1.006E+00, 8.353E-01, 0.000E+00, 1.453E-03, 0.000E+00, 1.383E-03, 0.000E+00
 1.400E+02, 1.056E+02, 0.000E+00,-3.309E+01,-6.728E+01,-5.611E+00, 7.356E-01, 0.000E+00, 0.000E+00, 5.193E-01, 3.270E-01, 0.000E+00, 1.720E-03, 0.000E+00, 1.383E-03, 0.000E+00
