s,m3/s,m/s,kg/m/s,kg/m3
Time,"null","null","null","null"
 0.000E+00,-5.082E-21,-2.050E-03, 5.530E-05, 1.195E+00
 5.089E+00, 2.164E-02, 2.207E-02, 4.255E-05, 1.195E+00
 1.008E+01, 6.339E-02, 6.475E-02, 4.322E-05, 1.195E+00
 1.507E+01, 1.042E-01, 1.065E-01, 3.711E-05, 1.195E+00
 2.006E+01, 1.441E-01, 1.479E-01, 3.295E-05, 1.195E+00
 2.505E+01, 1.832E-01, 1.898E-01, 2.880E-05, 1.195E+00
 3.004E+01, 2.214E-01, 2.310E-01, 2.755E-05, 1.195E+00
 3.503E+01, 2.586E-01, 2.722E-01, 2.671E-05, 1.195E+00
 4.002E+01, 2.949E-01, 3.153E-01, 2.584E-05, 1.195E+00
 4.501E+01, 3.304E-01, 3.558E-01, 2.965E-05, 1.195E+00
 5.009E+01, 3.654E-01, 3.989E-01, 3.938E-05, 1.195E+00
 5.508E+01, 3.996E-01, 4.403E-01, 7.827E-05, 1.195E+00
 6.008E+01, 4.325E-01, 4.731E-01, 1.751E-04, 1.195E+00
 6.504E+01, 4.644E-01, 5.010E-01, 2.590E-04, 1.195E+00
 7.002E+01, 4.951E-01, 5.465E-01, 3.130E-04, 1.195E+00
 7.503E+01, 5.245E-01, 6.046E-01, 3.152E-04, 1.195E+00
 8.002E+01, 5.518E-01, 6.305E-01, 2.925E-04, 1.195E+00
 8.502E+01, 5.767E-01, 7.076E-01, 3.653E-04, 1.195E+00
 9.001E+01, 5.997E-01, 7.703E-01, 4.497E-04, 1.195E+00
 9.502E+01, 6.213E-01, 7.514E-01, 4.559E-04, 1.195E+00
 1.001E+02, 6.418E-01, 7.614E-01, 3.969E-04, 1.195E+00
 1.050E+02, 6.612E-01, 8.005E-01, 4.540E-04, 1.195E+00
 1.100E+02, 6.794E-01, 8.245E-01, 4.855E-04, 1.195E+00
 1.150E+02, 6.964E-01, 8.352E-01, 4.810E-04, 1.195E+00
 1.200E+02, 7.124E-01, 8.955E-01, 5.712E-04, 1.195E+00
 1.250E+02, 7.272E-01, 9.073E-01, 4.584E-04, 1.195E+00
 1.300E+02, 7.412E-01, 9.129E-01, 5.140E-04, 1.195E+00
 1.350E+02, 7.543E-01, 9.552E-01, 6.070E-04, 1.195E+00
 1.400E+02, 7.666E-01, 9.586E-01, 5.897E-04, 1.195E+00
 1.450E+02, 7.782E-01, 9.528E-01, 6.461E-04, 1.195E+00
 1.500E+02, 7.888E-01, 9.537E-01, 6.755E-04, 1.195E+00
 1.550E+02, 7.982E-01, 9.743E-01, 5.641E-04, 1.195E+00
 1.600E+02, 8.072E-01, 9.582E-01, 5.036E-04, 1.195E+00
 1.650E+02, 8.159E-01, 1.002E+00, 5.501E-04, 1.195E+00
 1.700E+02, 8.241E-01, 9.991E-01, 6.919E-04, 1.195E+00
 1.750E+02, 8.314E-01, 1.015E+00, 6.814E-04, 1.195E+00
 1.800E+02, 8.381E-01, 1.045E+00, 6.131E-04, 1.195E+00
 1.850E+02, 8.442E-01, 9.853E-01, 6.136E-04, 1.195E+00
 1.900E+02, 8.500E-01, 9.780E-01, 4.416E-04, 1.195E+00
 1.950E+02, 8.553E-01, 9.848E-01, 5.697E-04, 1.195E+00
