s,m/s,m/s,kg/m/s,kg/m3
Time,"null","null","null","null"
 0.000E+00,-1.355E-19,-1.902E-03, 6.754E-05, 1.195E+00
 1.028E+00, 5.026E-01, 5.022E-01, 9.464E-05, 1.195E+00
 2.054E+00, 1.315E+00, 1.322E+00, 9.225E-05, 1.195E+00
 3.012E+00, 2.100E+00, 2.143E+00, 2.112E-04, 1.195E+00
 4.011E+00, 2.853E+00, 2.949E+00, 1.072E-03, 1.195E+00
 5.005E+00, 3.587E+00, 3.734E+00, 3.010E-03, 1.195E+00
 6.017E+00, 4.286E+00, 4.406E+00, 4.866E-03, 1.195E+00
 7.011E+00, 4.941E+00, 5.362E+00, 5.111E-03, 1.195E+00
 8.011E+00, 5.542E+00, 6.108E+00, 6.563E-03, 1.195E+00
 9.004E+00, 6.088E+00, 6.557E+00, 7.238E-03, 1.195E+00
 1.000E+01, 6.576E+00, 7.525E+00, 1.135E-02, 1.195E+00
 1.101E+01, 7.013E+00, 7.717E+00, 8.622E-03, 1.195E+00
 1.201E+01, 7.391E+00, 8.182E+00, 7.487E-03, 1.195E+00
 1.300E+01, 7.720E+00, 8.715E+00, 9.903E-03, 1.195E+00
 1.401E+01, 8.009E+00, 8.829E+00, 9.793E-03, 1.195E+00
 1.501E+01, 8.247E+00, 8.796E+00, 1.000E-02, 1.195E+00
 1.600E+01, 8.451E+00, 9.544E+00, 8.862E-03, 1.195E+00
 1.700E+01, 8.636E+00, 9.729E+00, 1.059E-02, 1.195E+00
 1.800E+01, 8.792E+00, 9.978E+00, 1.166E-02, 1.195E+00
 1.901E+01, 8.916E+00, 1.009E+01, 1.157E-02, 1.195E+00
 2.000E+01, 9.017E+00, 9.981E+00, 9.461E-03, 1.195E+00
 2.101E+01, 9.092E+00, 1.008E+01, 9.829E-03, 1.195E+00
 2.200E+01, 9.158E+00, 1.031E+01, 1.189E-02, 1.195E+00
 2.300E+01, 9.213E+00, 1.017E+01, 1.270E-02, 1.195E+00
 2.400E+01, 9.248E+00, 1.019E+01, 9.805E-03, 1.195E+00
 2.501E+01, 9.275E+00, 1.019E+01, 1.171E-02, 1.195E+00
 2.601E+01, 9.306E+00, 1.032E+01, 1.602E-02, 1.195E+00
 2.700E+01, 9.338E+00, 1.050E+01, 1.424E-02, 1.195E+00
 2.800E+01, 9.364E+00, 1.037E+01, 1.467E-02, 1.195E+00
 2.900E+01, 9.372E+00, 1.053E+01, 1.266E-02, 1.195E+00
 3.000E+01, 9.378E+00, 1.045E+01, 1.051E-02, 1.195E+00
 3.101E+01, 9.391E+00, 1.031E+01, 8.261E-03, 1.195E+00
