s,m/s,m/s,kg/m/s,kg/m3
Time,null,null,null,null
 0.000E+00,-1.220E-19,-1.902E-03, 6.754E-05, 1.195E+00
 5.189E+00, 2.249E-02, 1.968E-02, 7.954E-05, 1.195E+00
 1.018E+01, 6.429E-02, 6.232E-02, 9.484E-05, 1.195E+00
 1.517E+01, 1.035E-01, 1.066E-01, 5.741E-05, 1.195E+00
 2.016E+01, 1.404E-01, 1.451E-01, 4.888E-05, 1.195E+00
 2.515E+01, 1.747E-01, 1.908E-01, 4.427E-05, 1.195E+00
 3.014E+01, 2.066E-01, 2.338E-01, 6.363E-05, 1.195E+00
 3.513E+01, 2.363E-01, 2.747E-01, 4.714E-05, 1.195E+00
 4.012E+01, 2.641E-01, 3.146E-01, 5.872E-05, 1.195E+00
 4.511E+01, 2.902E-01, 3.575E-01, 4.750E-05, 1.195E+00
 5.009E+01, 3.149E-01, 3.971E-01, 5.827E-05, 1.195E+00
 5.508E+01, 3.382E-01, 4.416E-01, 8.767E-05, 1.195E+00
 6.007E+01, 3.602E-01, 4.806E-01, 1.665E-04, 1.195E+00
 6.502E+01, 3.807E-01, 5.136E-01, 3.322E-04, 1.195E+00
 7.006E+01, 3.997E-01, 5.441E-01, 5.760E-04, 1.195E+00
 7.514E+01, 4.173E-01, 5.804E-01, 7.243E-04, 1.195E+00
 8.012E+01, 4.331E-01, 6.280E-01, 6.587E-04, 1.195E+00
 8.507E+01, 4.465E-01, 6.326E-01, 6.081E-04, 1.195E+00
 9.002E+01, 4.562E-01, 6.344E-01, 5.914E-04, 1.195E+00
 9.512E+01, 4.618E-01, 6.551E-01, 6.335E-04, 1.195E+00
 1.001E+02, 4.639E-01, 6.380E-01, 8.065E-04, 1.195E+00
 1.050E+02, 4.624E-01, 6.211E-01, 7.607E-04, 1.195E+00
 1.101E+02, 4.585E-01, 5.817E-01, 6.509E-04, 1.195E+00
 1.151E+02, 4.545E-01, 6.112E-01, 7.110E-04, 1.195E+00
 1.200E+02, 4.518E-01, 5.996E-01, 5.043E-04, 1.195E+00
 1.251E+02, 4.503E-01, 5.899E-01, 5.708E-04, 1.195E+00
 1.301E+02, 4.496E-01, 5.926E-01, 5.468E-04, 1.195E+00
 1.350E+02, 4.497E-01, 6.015E-01, 5.723E-04, 1.195E+00
 1.401E+02, 4.498E-01, 5.804E-01, 5.256E-04, 1.195E+00
 1.450E+02, 4.498E-01, 6.042E-01, 4.486E-04, 1.195E+00
 1.501E+02, 4.494E-01, 6.073E-01, 4.854E-04, 1.195E+00
 1.551E+02, 4.487E-01, 6.158E-01, 5.466E-04, 1.195E+00
 1.600E+02, 4.483E-01, 6.175E-01, 6.294E-04, 1.195E+00
 1.651E+02, 4.484E-01, 6.123E-01, 6.530E-04, 1.195E+00
 1.701E+02, 4.490E-01, 5.698E-01, 4.910E-04, 1.195E+00
