s,kg/kg,mol/mol,kW
Time,"Y_Ar","X_Ar","Flame detector"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.3888604E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.6163465E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0005207E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3232693E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6621554E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9849040E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3237900E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6430845E-001, 0.0000000E+000, 0.0000000E+000, 3.7080899E-007
 2.9734055E-001, 0.0000000E+000, 0.0000000E+000, 8.8457672E-006
 3.3032457E-001, 0.0000000E+000, 0.0000000E+000, 1.2812364E-005
 3.6305700E-001, 0.0000000E+000, 0.0000000E+000, 1.3870111E-005
 3.9614655E-001, 0.0000000E+000, 0.0000000E+000, 1.6342522E-005
 4.2910415E-001, 0.0000000E+000, 0.0000000E+000, 1.6997148E-005
 4.6206176E-001, 0.0000000E+000, 0.0000000E+000, 1.3025335E-005
 4.9501936E-001, 0.0000000E+000, 0.0000000E+000, 1.2554804E-005
 5.2821238E-001, 0.0000000E+000, 0.0000000E+000, 1.1323783E-005
 5.6116998E-001, 0.0000000E+000, 0.0000000E+000, 1.1978562E-005
 5.9408055E-001, 0.0000000E+000, 0.0000000E+000, 1.2492675E-005
 6.2703120E-001, 0.0000000E+000, 0.0000000E+000, 1.2816362E-005
 6.6003874E-001, 0.0000000E+000, 0.0000000E+000, 1.3143922E-005
 6.9312186E-001, 0.0000000E+000, 0.0000000E+000, 1.3321024E-005
 7.2603356E-001, 0.0000000E+000, 0.0000000E+000, 1.3688727E-005
 7.5911668E-001, 0.0000000E+000, 0.0000000E+000, 1.3936914E-005
 7.9202838E-001, 0.0000000E+000, 0.0000000E+000, 1.4058686E-005
 8.2511150E-001, 0.0000000E+000, 0.0000000E+000, 1.4946114E-005
 8.5802320E-001, 0.0000000E+000, 0.0000000E+000, 1.5188909E-005
 8.9110632E-001, 0.0000000E+000, 0.0000000E+000, 1.5479956E-005
 9.2410168E-001, 0.0000000E+000, 0.0000000E+000, 1.5683008E-005
 9.5709877E-001, 0.0000000E+000, 0.0000000E+000, 1.5868002E-005
 9.9009585E-001, 0.0000000E+000, 0.0000000E+000, 1.5948695E-005
 1.0230291E+000, 0.0000000E+000, 0.0000000E+000, 1.8450790E-005
 1.0560358E+000, 0.0000000E+000, 0.0000000E+000, 2.0070646E-005
 1.0890927E+000, 0.0000000E+000, 0.0000000E+000, 1.7555485E-005
 1.1220909E+000, 0.0000000E+000, 0.0000000E+000, 1.7505627E-005
 1.1550154E+000, 0.0000000E+000, 0.0000000E+000, 2.0238671E-005
 1.1881047E+000, 0.0000000E+000, 0.0000000E+000, 1.8425299E-005
 1.2210954E+000, 0.0000000E+000, 0.0000000E+000, 1.7619891E-005
 1.2540580E+000, 0.0000000E+000, 0.0000000E+000, 1.8143403E-005
 1.2870995E+000, 0.0000000E+000, 0.0000000E+000, 1.9330637E-005
 1.3200603E+000, 0.0000000E+000, 0.0000000E+000, 1.8717180E-005
 1.3531149E+000, 0.0000000E+000, 0.0000000E+000, 1.8227352E-005
 1.3861309E+000, 0.0000000E+000, 0.0000000E+000, 1.8483845E-005
 1.4191237E+000, 0.0000000E+000, 0.0000000E+000, 1.8756602E-005
 1.4521165E+000, 0.0000000E+000, 0.0000000E+000, 1.9085086E-005
 1.4851093E+000, 0.0000000E+000, 0.0000000E+000, 1.8918524E-005
 1.5181021E+000, 0.0000000E+000, 0.0000000E+000, 1.9013932E-005
 1.5510381E+000, 0.0000000E+000, 0.0000000E+000, 1.8985797E-005
 1.5840448E+000, 0.0000000E+000, 0.0000000E+000, 1.9159567E-005
 1.6170493E+000, 0.0000000E+000, 0.0000000E+000, 1.8920586E-005
 1.6500025E+000, 0.0000000E+000, 0.0000000E+000, 1.9065258E-005
 1.6830518E+000, 0.0000000E+000, 0.0000000E+000, 1.9099598E-005
 1.7160660E+000, 0.0000000E+000, 0.0000000E+000, 1.8992757E-005
 1.7490881E+000, 0.0000000E+000, 0.0000000E+000, 1.8971328E-005
 1.7820550E+000, 0.0000000E+000, 0.0000000E+000, 1.9024744E-005
 1.8151200E+000, 0.0000000E+000, 0.0000000E+000, 1.8942417E-005
 1.8481252E+000, 0.0000000E+000, 0.0000000E+000, 1.8946851E-005
 1.8810569E+000, 0.0000000E+000, 0.0000000E+000, 1.8976691E-005
 1.9141232E+000, 0.0000000E+000, 0.0000000E+000, 1.8919222E-005
 1.9470680E+000, 0.0000000E+000, 0.0000000E+000, 1.8999278E-005
