s,mol/mol,kW
Time,"VF","HRR"
 0.0000000E+000, 3.7697780E-001, 0.0000000E+000
 1.0028824E-001, 3.7697780E-001, 0.0000000E+000
 2.0015825E-001, 3.7697780E-001, 8.1349786E-006
 3.0012697E-001, 3.7697780E-001, 7.1418554E-006
 4.0003695E-001, 3.7697780E-001, 6.9140931E-006
 5.0016263E-001, 3.7697780E-001, 7.0887145E-006
 6.0002947E-001, 3.7697780E-001, 7.3145170E-006
 7.0013963E-001, 3.7697780E-001, 7.2443547E-006
 8.0010526E-001, 3.7697780E-001, 7.2998315E-006
 9.0003756E-001, 3.7697780E-001, 7.5824098E-006
 1.0000040E+000, 3.7697780E-001, 7.7466276E-006
 1.1001584E+000, 3.7697780E-001, 7.4611276E-006
 1.2000697E+000, 3.7697780E-001, 7.5313819E-006
 1.3001085E+000, 3.7697780E-001, 7.7583145E-006
 1.4001351E+000, 3.7697780E-001, 7.8102153E-006
 1.5000607E+000, 3.7697780E-001, 7.7148131E-006
 1.6000139E+000, 3.7697780E-001, 7.6822307E-006
 1.7000814E+000, 3.7697780E-001, 7.8483147E-006
 1.8001366E+000, 3.7697780E-001, 7.7941284E-006
 1.9000026E+000, 3.7697780E-001, 7.8662733E-006
 2.0000728E+000, 3.7697780E-001, 7.7678630E-006
 2.1000670E+000, 3.7697780E-001, 8.0087689E-006
 2.2000903E+000, 3.7697780E-001, 7.7611459E-006
 2.3000673E+000, 3.7698056E-001, 7.9378508E-006
 2.4000789E+000, 3.7705078E-001, 7.8822151E-006
 2.5000464E+000, 3.7721819E-001, 7.9793612E-006
 2.6000863E+000, 3.7741888E-001, 7.9812793E-006
 2.7000577E+000, 3.7763963E-001, 7.8132755E-006
 2.8001267E+000, 3.7787340E-001, 7.8510233E-006
 2.9001466E+000, 3.7811443E-001, 7.8942378E-006
 3.0000621E+000, 3.7835863E-001, 7.9153835E-006
 3.1000536E+000, 3.7860420E-001, 7.9299025E-006
 3.2000468E+000, 3.7885035E-001, 7.9301559E-006
 3.3000097E+000, 3.7909643E-001, 7.7946456E-006
 3.4001237E+000, 3.7934260E-001, 7.9372398E-006
 3.5000510E+000, 3.7958866E-001, 7.8777309E-006
 3.6000578E+000, 3.7983441E-001, 7.9171372E-006
 3.7001249E+000, 3.8008041E-001, 8.0136061E-006
 3.8000765E+000, 3.8032621E-001, 7.7919779E-006
 3.9001454E+000, 3.8057212E-001, 8.0032726E-006
 4.0001093E+000, 3.8081798E-001, 7.7834928E-006
 4.1001384E+000, 3.8106370E-001, 7.9551728E-006
 4.2001355E+000, 3.8130958E-001, 7.9170900E-006
 4.3000870E+000, 3.8155533E-001, 7.9128368E-006
 4.4001447E+000, 3.8180126E-001, 7.9466589E-006
 4.5000178E+000, 3.8204714E-001, 7.7969207E-006
 4.6001144E+000, 3.8229305E-001, 7.8829418E-006
 4.7001062E+000, 3.8253910E-001, 7.9151799E-006
 4.8000347E+000, 3.8278505E-001, 7.8977886E-006
 4.9001628E+000, 3.8303115E-001, 7.9140175E-006
 5.0000461E+000, 3.8327730E-001, 7.9332774E-006
 5.1000239E+000, 3.8352327E-001, 7.7705960E-006
 5.2001607E+000, 3.8376962E-001, 7.9378332E-006
 5.3000568E+000, 3.8401595E-001, 7.8190882E-006
 5.4000237E+000, 3.8426202E-001, 7.9225916E-006
 5.5001322E+000, 3.8450854E-001, 7.9357846E-006
 5.6001283E+000, 3.8475502E-001, 7.7849598E-006
 5.7000184E+000, 3.8500136E-001, 8.0237025E-006
 5.8000341E+000, 3.8524773E-001, 7.7580279E-006
 5.9000821E+000, 3.8549434E-001, 7.9866236E-006
 6.0000273E+000, 3.8574100E-001, 7.8124277E-006
 6.1001502E+000, 3.8598772E-001, 7.9292075E-006
 6.2000529E+000, 3.8623446E-001, 7.8744106E-006
 6.3000670E+000, 3.8648111E-001, 7.8810450E-006
 6.4000103E+000, 3.8672788E-001, 7.9355262E-006
 6.5000876E+000, 3.8697477E-001, 7.8099910E-006
 6.6001056E+000, 3.8722182E-001, 7.9106319E-006
 6.7000227E+000, 3.8746872E-001, 7.8680341E-006
 6.8001222E+000, 3.8771577E-001, 7.9184135E-006
 6.9000839E+000, 3.8796296E-001, 7.8243993E-006
 7.0000886E+000, 3.8821006E-001, 7.9013172E-006
 7.1001194E+000, 3.8845728E-001, 7.7667137E-006
 7.2001091E+000, 3.8870452E-001, 7.9041601E-006
 7.3000093E+000, 3.8895168E-001, 7.8559384E-006
 7.4001845E+000, 3.8919910E-001, 7.9172724E-006
 7.5001081E+000, 3.8944661E-001, 8.0435644E-006
 7.6001281E+000, 3.8969401E-001, 8.0283459E-006
 7.7000928E+000, 3.8994152E-001, 8.0914789E-006
 7.8000519E+000, 3.9018896E-001, 8.0751145E-006
 7.9001481E+000, 3.9043654E-001, 7.7100395E-006
 8.0000044E+000, 3.9068429E-001, 7.3313202E-006
 8.1000685E+000, 3.9093194E-001, 7.4370387E-006
 8.2000483E+000, 3.9117973E-001, 7.5243559E-006
 8.3000142E+000, 3.9142745E-001, 7.5288430E-006
 8.4001754E+000, 3.9167539E-001, 7.5620164E-006
 8.5000122E+000, 3.9192332E-001, 7.5331232E-006
 8.6001586E+000, 3.9217129E-001, 7.3980469E-006
 8.7001177E+000, 3.9241949E-001, 7.3593371E-006
 8.8001011E+000, 3.9266739E-001, 7.4376399E-006
 8.9000397E+000, 3.9291539E-001, 7.4982694E-006
 9.0001574E+000, 3.9316361E-001, 7.4411293E-006
 9.1001756E+000, 3.9341208E-001, 7.4988658E-006
 9.2000159E+000, 3.9366024E-001, 7.3833416E-006
 9.3001261E+000, 3.9390848E-001, 7.3034033E-006
 9.4000911E+000, 3.9415703E-001, 7.3512654E-006
 9.5000982E+000, 3.9440546E-001, 7.2692176E-006
 9.6001118E+000, 3.9465391E-001, 7.3586521E-006
 9.7000325E+000, 3.9490224E-001, 7.4274602E-006
 9.8000733E+000, 3.9515082E-001, 7.4556902E-006
 9.9000934E+000, 3.9539972E-001, 7.3385625E-006
 1.0000176E+001, 3.9564921E-001, 7.3229292E-006
 1.0100005E+001, 3.9589622E-001, 7.1887495E-006
 1.0200040E+001, 3.9614347E-001, 7.2392817E-006
 1.0300047E+001, 3.9639565E-001, 7.2573474E-006
 1.0400011E+001, 3.9664941E-001, 7.2672220E-006
 1.0500181E+001, 3.9690103E-001, 7.3279344E-006
 1.0600063E+001, 3.9715108E-001, 7.3681175E-006
 1.0700032E+001, 3.9740040E-001, 7.2592675E-006
 1.0800084E+001, 3.9764970E-001, 7.1197844E-006
 1.0900109E+001, 3.9789898E-001, 7.1169279E-006
 1.1000009E+001, 3.9814810E-001, 7.1132699E-006
 1.1100079E+001, 3.9839726E-001, 7.1776981E-006
 1.1200071E+001, 3.9864661E-001, 7.2799768E-006
 1.1300003E+001, 3.9889594E-001, 7.3451748E-006
 1.1400127E+001, 3.9914558E-001, 7.2104536E-006
 1.1500006E+001, 3.9939515E-001, 7.0467447E-006
 1.1600023E+001, 3.9964463E-001, 7.0775973E-006
 1.1700106E+001, 3.9989433E-001, 7.1114200E-006
 1.1800041E+001, 4.0014397E-001, 7.1461584E-006
 1.1900088E+001, 4.0039362E-001, 7.2825963E-006
 1.2000004E+001, 4.0064343E-001, 7.3199228E-006
 1.2100090E+001, 4.0089341E-001, 7.1453666E-006
 1.2200024E+001, 4.0114338E-001, 7.0249314E-006
 1.2300010E+001, 4.0139324E-001, 7.0696445E-006
 1.2400145E+001, 4.0164337E-001, 7.1110309E-006
 1.2500135E+001, 4.0189352E-001, 7.1559888E-006
 1.2600206E+001, 4.0214368E-001, 7.2863018E-006
 1.2700069E+001, 4.0239388E-001, 7.2808945E-006
 1.2800143E+001, 4.0264415E-001, 7.0920607E-006
 1.2900117E+001, 4.0289453E-001, 7.0183103E-006
 1.3000116E+001, 4.0314486E-001, 7.0721862E-006
 1.3100040E+001, 4.0339507E-001, 7.1031712E-006
 1.3200121E+001, 4.0364541E-001, 7.1595112E-006
 1.3300108E+001, 4.0389600E-001, 7.2738866E-006
