s,[K],[mg],[W/g]
Time,"Temperature","Mass","Heat Flow"
 0.0000000E+000, 3.0015000E+002, 5.0000000E+000, 0.0000000E+000
 6.1000000E+000, 3.0062401E+002, 5.0000000E+000, 2.0777519E-001
 1.2100000E+001, 3.0162702E+002, 5.0000000E+000, 2.1698598E-001
 1.8100000E+001, 3.0262835E+002, 5.0000000E+000, 2.2648093E-001
 2.4000000E+001, 3.0362098E+002, 5.0000000E+000, 2.2295797E-001
 3.0000000E+001, 3.0461389E+002, 5.0000000E+000, 2.2667299E-001
 3.6000000E+001, 3.0561425E+002, 5.0000000E+000, 2.2957982E-001
 4.2000000E+001, 3.0661369E+002, 5.0000000E+000, 2.2549781E-001
 4.8000000E+001, 3.0761219E+002, 5.0000000E+000, 2.2607732E-001
 5.4000000E+001, 3.0861293E+002, 5.0000000E+000, 2.2709341E-001
 6.0000000E+001, 3.0961138E+002, 5.0000000E+000, 2.2791770E-001
 6.6000000E+001, 3.1061255E+002, 5.0000000E+000, 2.3808500E-001
 7.2000000E+001, 3.1161154E+002, 5.0000000E+000, 2.3636107E-001
 7.8100000E+001, 3.1261866E+002, 5.0000000E+000, 2.3577833E-001
 8.4100000E+001, 3.1362495E+002, 5.0000000E+000, 2.3710486E-001
 9.0100000E+001, 3.1462395E+002, 5.0000000E+000, 2.3526948E-001
 9.6100000E+001, 3.1562236E+002, 5.0000000E+000, 2.3630307E-001
 1.0210000E+002, 3.1662366E+002, 5.0000000E+000, 2.4583450E-001
 1.0810000E+002, 3.1762251E+002, 5.0000000E+000, 2.4476204E-001
 1.1410000E+002, 3.1862344E+002, 5.0000000E+000, 2.4482892E-001
 1.2010000E+002, 3.1962215E+002, 5.0000000E+000, 2.4439463E-001
 1.2610000E+002, 3.2062257E+002, 5.0000000E+000, 2.4695629E-001
 1.3210000E+002, 3.2162161E+002, 5.0000000E+000, 2.4496284E-001
 1.3810000E+002, 3.2262002E+002, 5.0000000E+000, 2.4597114E-001
 1.4410000E+002, 3.2362131E+002, 5.0000000E+000, 2.5552027E-001
 1.5010000E+002, 3.2462016E+002, 5.0000000E+000, 2.5446294E-001
 1.5610000E+002, 3.2562108E+002, 5.0000000E+000, 2.5461331E-001
 1.6210000E+002, 3.2661980E+002, 5.0000000E+000, 2.5411975E-001
 1.6810000E+002, 3.2762019E+002, 5.0000000E+000, 2.5680241E-001
 1.7410000E+002, 3.2861927E+002, 5.0000000E+000, 2.5465339E-001
 1.8010000E+002, 3.2961771E+002, 5.0000000E+000, 2.5551871E-001
 1.8610000E+002, 3.3061897E+002, 5.0000000E+000, 2.6520805E-001
 1.9210000E+002, 3.3161780E+002, 5.0000000E+000, 2.6416270E-001
 1.9810000E+002, 3.3261871E+002, 5.0000000E+000, 2.6439703E-001
 2.0410000E+002, 3.3361745E+002, 5.0000000E+000, 2.6384270E-001
 2.1010000E+002, 3.3461781E+002, 5.0000000E+000, 2.6664328E-001
 2.1610000E+002, 3.3561692E+002, 5.0000000E+000, 2.6435188E-001
 2.2210000E+002, 3.3661538E+002, 5.0000000E+000, 2.6516483E-001
 2.2810000E+002, 3.3761662E+002, 5.0000000E+000, 2.7489228E-001
 2.3410000E+002, 3.3861545E+002, 5.0000000E+000, 2.7386158E-001
 2.4010000E+002, 3.3961634E+002, 5.0000000E+000, 2.7416765E-001
 2.4610000E+002, 3.4061510E+002, 5.0000000E+000, 2.7354783E-001
 2.5210000E+002, 3.4161547E+002, 5.0000000E+000, 2.7635039E-001
 2.5810000E+002, 3.4261458E+002, 5.0000000E+000, 2.7405021E-001
 2.6410000E+002, 3.4361304E+002, 5.0000000E+000, 2.7484126E-001
 2.7010000E+002, 3.4461427E+002, 5.0000000E+000, 2.8458875E-001
 2.7610000E+002, 3.4561310E+002, 5.0000000E+000, 2.8355978E-001
 2.8210000E+002, 3.4661397E+002, 5.0000000E+000, 2.8395010E-001
 2.8810000E+002, 3.4761275E+002, 5.0000000E+000, 2.8326714E-001
 2.9410000E+002, 3.4861309E+002, 5.0000000E+000, 2.8618095E-001
 3.0010000E+002, 3.4961223E+002, 4.9999999E+000, 2.8375283E-001
 3.0600000E+002, 3.5060497E+002, 4.9999999E+000, 2.8764199E-001
 3.1200000E+002, 3.5159736E+002, 4.9999999E+000, 2.8591017E-001
 3.1800000E+002, 3.5259843E+002, 4.9999999E+000, 2.9643332E-001
 3.2400000E+002, 3.5359748E+002, 4.9999999E+000, 2.9435395E-001
 3.3000000E+002, 3.5459756E+002, 4.9999999E+000, 2.9845129E-001
 3.3600000E+002, 3.5559725E+002, 4.9999999E+000, 2.9349617E-001
 3.4200000E+002, 3.5659576E+002, 4.9999998E+000, 2.9403575E-001
 3.4800000E+002, 3.5759652E+002, 4.9999998E+000, 2.9498104E-001
 3.5400000E+002, 3.5859502E+002, 4.9999998E+000, 2.9557009E-001
