s,C,C,C,C,C,C
Time,"Air Temp","VTT_1","GRS_1","NRC_1","IRSN_2","TRAC_1"
 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001
 1.0200000E+001, 3.0439216E+001, 3.0000024E+001, 3.0000049E+001, 3.0000046E+001, 3.0000020E+001, 3.0000026E+001
 2.0200000E+001, 3.4473459E+001, 3.0000728E+001, 3.0001316E+001, 3.0001229E+001, 3.0000643E+001, 3.0000788E+001
 3.0120320E+001, 4.4708588E+001, 3.0008166E+001, 3.0014133E+001, 3.0013215E+001, 3.0007266E+001, 3.0008788E+001
 4.0008607E+001, 5.4995090E+001, 3.0046211E+001, 3.0073359E+001, 3.0068868E+001, 3.0041633E+001, 3.0049320E+001
 5.0044366E+001, 6.5334701E+001, 3.0145892E+001, 3.0213639E+001, 3.0201141E+001, 3.0133181E+001, 3.0154352E+001
 6.0072744E+001, 7.5723653E+001, 3.0329038E+001, 3.0453010E+001, 3.0427254E+001, 3.0303647E+001, 3.0345621E+001
 7.0044071E+001, 8.6845200E+001, 3.0609464E+001, 3.0800403E+001, 3.0755862E+001, 3.0567139E+001, 3.0636680E+001
 8.0050460E+001, 1.0227657E+002, 3.0999678E+001, 3.1266277E+001, 3.1196880E+001, 3.0936284E+001, 3.1039922E+001
 9.0022093E+001, 1.1839200E+002, 3.1529333E+001, 3.1888385E+001, 3.1786015E+001, 3.1438873E+001, 3.1586249E+001
 1.0001917E+002, 1.3448279E+002, 3.2234234E+001, 3.2704600E+001, 3.2559112E+001, 3.2109498E+001, 3.2312110E+001
 1.1003556E+002, 1.5062721E+002, 3.3143678E+001, 3.3740103E+001, 3.3539940E+001, 3.2977551E+001, 3.3246565E+001
 1.2002181E+002, 1.6675522E+002, 3.4279737E+001, 3.5012916E+001, 3.4745741E+001, 3.4065146E+001, 3.4411571E+001
 1.3000317E+002, 1.8285684E+002, 3.5665141E+001, 3.6541381E+001, 3.6194263E+001, 3.5394748E+001, 3.5829969E+001
